MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02004802,"Hawley Lane & Fox Lane",0,648.0,589.74,12.422,1,0.00
E02004803,"Mayfield",0,424.0,734.14,9.050,1,0.00
E02004804,"Pinewood",0,424.0,0.00,11.273,0,0.00
E02004805,"Farnborough Hill",0,424.0,2661.88,19.054,1,0.00
E02004806,"Cove & Southwood",0,424.0,1029.56,16.275,2,0.00
E02004807,"Farnborough Town",0,424.0,3392.08,26.278,2,0.00
E02004808,"South Farnborough & North Camp",0,3611.0,7531.28,59.883,2,0.00
E02004809,"Aldershot Town",0,3822.0,5273.99,32.414,1,0.00
E02004810,"Aldershot North Town",0,3398.0,632.29,19.461,0,0.00
E02004811,"Aldershot Rowhill",0,3187.0,254.63,6.682,0,0.00
E02004812,"Aldershot Manor Park",0,3398.0,150.75,8.792,0,0.00
E02004813,"Aldershot Park",0,3398.0,384.17,11.099,0,0.00
