MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
W02000200,"Dulais Valley",0,103.0,150.65,15.417,0,0.00,0.00,0.00,0
W02000201,"Glynneath",0,150.0,250.99,5.015,0,0.00,908.09,0.00,0
W02000202,"Pontardawe",0,328.0,1401.78,38.499,0,0.00,0.00,0.00,0
W02000203,"Aberdulais & Resolfen",0,153.0,197.92,9.359,0,0.00,244.95,0.00,0
W02000204,"Cadoxton & Bryn-coch",0,153.0,154.89,14.401,0,0.00,2153.00,0.00,0
W02000205,"Neath Abbey",0,103.0,779.26,17.473,2,0.00,6272.04,0.00,0
W02000206,"Neath Town",0,153.0,1951.86,16.410,1,0.00,5595.99,0.00,0
W02000207,"Cimla",0,153.0,76.12,3.382,0,0.00,0.00,0.00,0
W02000208,"Skewen & Jersey Marine",0,290.0,2747.75,25.032,1,0.00,0.00,97760.50,0
W02000209,"Glyncorrwg & Blaengwynfi",0,162.0,291.52,7.693,0,0.00,0.00,0.00,0
W02000210,"Neath South",0,50.0,0.00,4.592,0,0.00,921.45,0.00,0
W02000211,"Briton Ferry",0,50.0,721.45,6.665,0,0.00,1388.13,0.00,0
W02000212,"Cwmafan & Bryn",0,162.0,387.03,9.605,0,0.00,0.00,0.00,0
W02000213,"Baglan",0,100.0,1018.53,6.772,0,0.00,0.00,0.00,0
W02000214,"Sandfields",0,112.0,1082.58,9.568,1,0.00,9526.46,0.00,0
W02000215,"Aberafan",0,112.0,2503.67,11.374,0,0.00,0.00,0.00,0
W02000216,"Port Talbot East",0,112.0,1259.08,17.656,2,0.00,5398.52,0.00,0
W02000217,"Port Talbot South & Margam",0,91.0,4359.66,8.726,0,0.00,0.00,0.00,0
W02000417,"Ystalyfera & Gwaun-Cae-Gurwen",0,166.0,611.02,17.431,1,0.00,3841.00,0.00,0
