MSOA,Name,index-of-transport-accessibility,chargepoints,ULEVs
E02001327,"Kirkby North East",0.208,0,104.0
E02001328,"Kirkby North West",0.223,0,293.0
E02001329,"Kirkby South East",0.194,0,104.0
E02001330,"Kirkby South West & Field Lane",0.344,1,67.0
E02001331,"Knowsley Village & Southdene",0.283,2,296.0
E02001332,"Stockbridge Village",0.03,0,165.0
E02001333,"Prescot",0.258,3,273.0
E02001334,"Page Moss & Fincham",0.251,0,145.0
E02001335,"Whiston North",0.193,3,161.0
E02001336,"Longview & Knowsley Park",0.282,0,165.0
E02001337,"Mosscroft & Bakers Green",0.307,0,165.0
E02001338,"Huyton Farm",0.237,0,145.0
E02001339,"Whiston South",0.202,0,220.0
E02001340,"Court Hey & Swanside",0.254,0,195.0
E02001341,"Huyton East",0.228,0,220.0
E02001342,"Huyton West & Roby",0.2,0,181.0
E02001343,"Halsnead",0.417,0,711.0
E02001344,"Halewood North",0.121,0,182.0
E02001345,"Halewood Central",0.132,1,40.0
E02001346,"Halewood South",0.195,0,249.0
