MSOA,Name,index-of-transport-accessibility,chargepoints,ulev,evhs,estimated-capacity
E02000984,"Dunscar & Egerton",570,0,371.0,33.352,629.99
E02000985,"Bromley Cross & Bradshaw",601,0,257.0,20.333,1336.10
E02000986,"Eagley & Sharples",644,0,371.0,14.699,272.56
E02000987,"Horwich North",745,3,182.0,22.031,697.82
E02000988,"Astley Bridge & Waters Meeting",715,0,258.0,11.554,1903.89
E02000989,"Harwood",597,0,1005.0,17.213,521.41
E02000990,"Horwich South & Middlebrook",703,6,646.0,46.832,7927.80
E02000991,"Smithills",687,0,402.0,10.638,533.28
E02000992,"Blackrod & Butterwick Fields",786,0,239.0,17.991,880.24
E02000993,"Hall I' th' Wood",744,0,402.0,12.069,835.80
E02000994,"Halliwell & Brownlow Fold",763,0,358.0,14.030,367.50
E02000995,"Doffcocker & Moss Bank",713,0,440.0,11.385,670.16
E02000996,"Breightmet North",677,0,144.0,10.371,536.60
E02000997,"Horwich East",827,0,431.0,25.254,3706.66
E02000998,"Gilnow & Victory",757,0,487.0,12.475,1319.76
E02000999,"Central Bolton",841,22,850.0,77.559,10564.90
E02001000,"Tonge",815,0,402.0,15.211,294.09
E02001001,"Heaton & Deane",735,0,487.0,8.595,461.42
E02001002,"Breightmet South & Darcy Lever",684,2,373.0,12.998,1275.11
E02001003,"Lostock & Ladybridge",858,0,669.0,12.518,872.17
E02001004,"Rumworth North",746,6,229.0,7.531,997.08
E02001005,"Burnden & Great Lever",858,0,631.0,19.529,2737.31
E02001006,"Rumworth South",804,0,229.0,5.009,99.10
E02001007,"Little Lever",686,2,330.0,7.747,491.11
E02001008,"Lever Edge",809,0,229.0,5.271,91.22
E02001009,"Daubhill & Fernhill Gate",898,0,641.0,9.905,1232.25
E02001010,"Farnworth North",866,0,335.0,6.383,293.78
E02001011,"Westhoughton East",873,1,511.0,22.291,767.38
E02001012,"Harper Green",829,0,335.0,5.516,1695.80
E02001013,"Over Hulton",919,0,478.0,12.234,449.86
E02001014,"Westhoughton West",777,2,249.0,29.067,2444.01
E02001015,"Farnworth South",956,0,364.0,12.163,583.95
E02001016,"Highfield & New Bury",859,0,106.0,5.120,246.10
E02001017,"Kearsley & Stoneclough",943,0,627.0,14.643,331.11
E02001018,"Westhoughton Daisy Hill",722,0,249.0,17.069,58.72
E02001019,"Ramsbottom",745,3,1124.0,40.718,1296.43
E02001020,"Summerseat",750,0,1124.0,19.738,172.35
E02001021,"Nuttall & Tottington",694,0,1124.0,23.591,416.14
E02001022,"Walmersley & Limefield",835,0,270.0,11.053,325.73
E02001023,"Higher Woodhill",711,0,748.0,12.268,194.46
E02001024,"Walshaw & Woolfold",647,0,748.0,21.820,26.91
E02001025,"Fairfield & Jericho",946,3,270.0,11.796,1425.55
E02001026,"Fernhill & Pimhole",958,8,270.0,20.086,4250.10
E02001027,"Whitehead Park",744,0,1225.0,73.922,664.24
E02001028,"Elton Vale",658,0,748.0,19.479,228.33
E02001029,"Buckley Wells & Fishpool",851,8,1018.0,17.298,1486.54
E02001030,"Ainsworth & Bradley Fold",631,0,993.0,12.480,381.41
E02001031,"Redvales & Hollins",851,1,371.0,11.574,2512.08
E02001032,"Black Lane",648,0,371.0,12.447,37.82
E02001033,"Bank Top & Radcliffe Ees",714,2,371.0,11.622,446.76
E02001034,"Radcliffe",696,0,281.0,25.523,1698.88
E02001035,"Unsworth",875,0,632.0,10.249,392.78
E02001036,"Outwood Gate",820,0,519.0,13.661,834.54
E02001037,"Whitefield West & Park Lane",953,0,560.0,23.845,311.42
E02001038,"Whitefield East",984,1,560.0,19.743,1226.54
E02001039,"Besses",955,0,189.0,21.466,454.59
E02001040,"Kirkhams & Holyrood",964,5,362.0,38.147,1788.37
