MSOA,Name,index-of-transport-accessibility,chargepoints
S02002219,"?",0,0
S02002220,"?",0,0
S02002221,"?",0,0
S02002222,"?",0,0
S02002223,"?",0,0
S02002224,"?",0,0
S02002225,"?",0,0
S02002226,"?",0,0
S02002227,"?",0,0
S02002228,"?",0,0
S02002229,"?",0,0
S02002230,"?",0,0
S02002231,"?",0,0
S02002232,"?",0,0
S02002233,"?",0,0
S02002234,"?",0,0
S02002235,"?",0,0
S02002236,"?",0,0
S02002237,"?",0,0
S02002238,"?",0,0
S02002239,"?",0,0
S02002240,"?",0,0
S02002241,"?",0,0
S02002242,"?",0,0
S02002243,"?",0,0
S02002244,"?",0,0
S02002245,"?",0,0
S02002246,"?",0,0
S02002247,"?",0,0
S02002248,"?",0,0
S02002249,"?",0,0
S02002250,"?",0,0
S02002251,"?",0,0
S02002252,"?",0,0
S02002253,"?",0,0
