MSOA,index-of-transport-accesibility,chargepoints
E02002000,0,0.01
E02002001,0,0.00
E02002002,0,0.00
E02002003,0,0.01
E02002004,0,0.01
E02002005,0,0.01
E02002006,0,0.00
E02002007,0,0.00
E02002008,0,0.00
E02002009,0,0.00
E02002010,0,0.01
E02002011,0,0.02
E02002012,0,0.00
E02002013,0,0.00
E02002014,0,0.00
E02002015,0,0.02
E02002016,0,0.00
E02002017,0,0.00
E02002018,0,0.00
E02002019,0,0.00
E02002020,0,0.00
E02002021,0,0.03
E02002022,0,0.00
E02002023,0,0.00
E02002024,0,0.01
E02002025,0,0.00
E02002026,0,0.00
E02002027,0,0.02
E02002028,0,0.00
E02002029,0,0.01
E02002030,0,0.01
E02002031,0,0.00
E02002032,0,0.00
E02002033,0,0.01
E02002034,0,0.04
E02002035,0,0.00
E02002036,0,0.00
E02002037,0,0.00
E02002038,0,0.01
E02002039,0,0.00
E02002040,0,0.00
E02002041,0,0.00
E02002042,0,0.00
