MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02000714,"Forest Gate North",0,310.0,379.83,2.504,0,0.00
E02000715,"Little Ilford West",0,227.0,2.27,2.461,0,0.00
E02000716,"Manor Park North",0,537.0,224.12,2.905,0,0.00
E02000717,"Manor Park South",0,537.0,327.48,10.598,0,0.00
E02000718,"Little Ilford East",0,227.0,66.54,2.865,0,0.00
E02000719,"Forest Gate West",0,553.0,603.29,8.339,0,0.00
E02000720,"Forest Gate East",0,310.0,49.65,1.535,0,0.00
E02000721,"Forest Gate South",0,310.0,441.48,3.110,0,0.00
E02000722,"Stratford East",0,553.0,673.17,0.424,0,0.00
E02000723,"East Ham North",0,927.0,62.01,3.540,0,0.00
E02000724,"Plashet East",0,927.0,24.35,1.523,0,0.00
E02000725,"Stratford Central",0,243.0,2975.03,0.000,5,0.00
E02000726,"Olympic Park & Mill Meads",0,965.0,10185.84,0.127,56,0.00
E02000727,"Plashet West",0,930.0,191.12,1.552,0,0.00
E02000728,"Wallend North",0,617.0,4.04,1.019,0,0.00
E02000729,"West Ham Park",0,783.0,155.78,0.586,0,0.00
E02000730,"Upton Park",0,540.0,151.00,1.030,0,0.00
E02000731,"East Ham Central",0,390.0,125.02,1.713,0,0.00
E02000732,"East Ham West",0,620.0,0.00,1.115,0,0.00
E02000733,"West Ham & Stratford Park",0,243.0,895.94,0.000,0,0.00
E02000734,"Plaistow North",0,473.0,501.66,0.000,0,0.00
E02000735,"Plaistow North East",0,230.0,417.03,0.000,1,0.00
E02000736,"Wallend South",0,805.0,861.81,7.544,5,0.00
E02000737,"East Ham South",0,390.0,39.65,2.101,0,0.00
E02000738,"East Ham South West",0,620.0,5.46,1.256,0,0.00
E02000739,"Plaistow Park",0,230.0,74.34,0.000,0,0.00
E02000740,"Canning Town North",0,1227.0,1178.00,0.416,0,3002.45
E02000741,"Plaistow South",0,620.0,1109.94,0.023,8,0.00
E02000742,"Lonsdale Avenue",0,620.0,200.93,1.396,2,0.00
E02000743,"Canning Town Central",0,683.0,84.02,1.051,1,0.00
E02000744,"Canning Town East",0,683.0,224.31,0.646,1,0.00
E02000745,"Beckton North",0,843.0,185.63,2.027,0,0.00
E02000746,"Beckton",0,1258.0,8481.92,3.520,14,0.00
E02000747,"Canning Town South & Bow Creek",0,1397.0,1135.03,4.356,35,0.00
E02000748,"Beckton Park",0,843.0,902.75,2.601,0,0.00
E02000749,"Custom House",0,453.0,1924.76,2.228,9,0.00
E02000750,"Royal Docks & North Woolwich",0,453.0,3431.74,4.006,5,0.00
