MSOA,Name,index-of-transport-accessibility,chargepoints,ULEVs,EVHS
E02001045,"Boothroyden & Higher Blackley",909,0,56.0,5.583
E02001046,"Blackley",935,2,56.0,6.501
E02001047,"Charlestown",858,0,243.0,5.031
E02001048,"Crumpsall North & Heaton Park",846,4,481.0,4.718
E02001049,"New Moston",882,0,84.0,6.242
E02001050,"Harpurhey North",833,0,127.0,6.011
E02001051,"Moston West",736,0,140.0,6.373
E02001052,"Crumpsall South",756,4,137.0,5.460
E02001053,"Harpurhey South & Monsall",682,0,140.0,10.320
E02001055,"Newton Heath",710,1,84.0,11.935
E02001056,"Clayton Vale",646,0,238.0,2.481
E02001057,"New Islington & Miles Platting",693,2,306.0,6.408
E02001059,"Beswick",636,6,225.0,0.089
E02001061,"Openshaw & Gorton North",691,6,190.0,2.365
E02001062,"Ardwick",744,2,197.0,13.417
E02001063,"Hulme & University",765,15,132.0,0.951
E02001064,"Belle Vue & West Gorton",668,5,136.0,6.711
E02001065,"Abbey Hey",663,0,36.0,3.398
E02001066,"Victoria Park",658,3,162.0,4.336
E02001067,"Gorton South",688,0,109.0,3.609
E02001068,"Moss Side West",759,0,251.0,5.547
E02001069,"Rusholme West & Moss Side East",704,0,105.0,5.113
E02001070,"Rusholme East",659,0,89.0,4.416
E02001071,"Levenshulme North",604,0,167.0,6.399
E02001072,"Whalley Range North",680,0,294.0,4.982
E02001073,"Chorlton North",753,4,294.0,30.908
E02001074,"Fallowfield West & Whalley Range South",718,1,356.0,4.750
E02001075,"Levenshulme Central",577,0,140.0,13.478
E02001076,"Fallowfield Central",589,0,386.0,25.505
E02001077,"Chorlton South",746,4,148.0,44.080
E02001078,"Levenshulme South & Burnage North",585,0,67.0,10.410
E02001079,"Withington North & Old Moat",760,2,440.0,23.611
E02001080,"Ladybarn",651,3,292.0,9.651
E02001081,"Beech Road & Chorlton Meadows",753,0,148.0,19.125
E02001082,"Withington West",732,0,230.0,28.858
E02001083,"West Didsbury",791,0,378.0,23.595
E02001084,"Withington East",679,0,297.0,28.588
E02001085,"Burnage South",676,2,545.0,11.041
E02001086,"Merseybank & Barlow Moor",832,0,378.0,23.676
E02001087,"Didsbury Village",735,2,292.0,48.345
E02001088,"Northern Moor",842,0,75.0,9.351
E02001089,"East Didsbury",780,15,297.0,27.510
E02001090,"Northenden",866,2,472.0,6.349
E02001091,"Baguley West & Brooklands",791,2,789.0,12.236
E02001092,"Baguley East & Wythenshawe Park",825,1,75.0,13.215
E02001093,"Benchill North & Sharston",810,0,242.0,16.133
E02001094,"Benchill South & Wythenshawe Central",817,1,167.0,10.842
E02001095,"Newall Green",840,0,242.0,18.143
E02001096,"Wythenshawe East & Peel Hall",784,1,167.0,7.537
E02001097,"Woodhouse Park & Airport",824,0,1431.0,17.685
E02006902,"City Centre North & Collyhurst",703,11,319.0,1.644
E02006912,"Piccadilly & Ancoats",778,25,589.0,0.726
E02006913,"Cheetham Hill",739,1,355.0,4.146
E02006914,"University North & Whitworth Street",789,29,224.0,0.000
E02006915,"Strangeways",764,0,281.0,10.684
E02006916,"Hulme Park & St George's",805,0,133.0,0.000
E02006917,"Castlefield & Deansgate",808,16,224.0,0.000
