MSOA,Name,index-of-transport-accessibility,chargepoints
S02001405,"?",0,0
S02001406,"?",0,0
S02001407,"?",0,0
S02001408,"?",0,0
S02001409,"?",0,0
S02001410,"?",0,0
S02001411,"?",0,0
S02001412,"?",0,0
S02001413,"?",0,0
S02001414,"?",0,0
S02001415,"?",0,0
S02001416,"?",0,0
S02001417,"?",0,0
S02001418,"?",0,0
S02001419,"?",0,0
S02001420,"?",0,0
S02001421,"?",0,0
S02001422,"?",0,0
S02001423,"?",0,0
S02001424,"?",0,0
S02001425,"?",0,0
S02001426,"?",0,0
S02001427,"?",0,0
S02001428,"?",0,0
S02001429,"?",0,0
S02001430,"?",0,0
S02001431,"?",0,0
S02001432,"?",0,0
S02001433,"?",0,0
S02001434,"?",0,0
S02001435,"?",0,0
S02001436,"?",0,0
S02001437,"?",0,0
S02001438,"?",0,0
S02001439,"?",0,0
S02001440,"?",0,0
S02001441,"?",0,0
S02001442,"?",0,0
S02001443,"?",0,0
S02001444,"?",0,0
