MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02001229,"Mossley",491,229.0,376.53,23.193,0,0.00,1051.76,0.00
E02001230,"Ashton North",656,87.0,184.51,3.735,0,0.00,0.00,0.00
E02001231,"Carrbrook & Micklehurst",431,174.0,272.60,13.906,0,0.00,0.00,0.00
E02001232,"Hurst Cross",663,55.0,17.81,5.115,0,0.00,0.00,0.00
E02001233,"Ashton Waterloo",747,32.0,350.40,5.836,0,0.00,0.00,0.00
E02001234,"Smallshaw",689,87.0,111.63,4.863,1,0.00,0.00,0.00
E02001235,"Ashton East",741,193.0,850.11,5.835,0,0.00,0.00,0.00
E02001236,"Stalybridge North",648,138.0,421.99,12.849,3,0.00,0.00,0.00
E02001237,"Stalybridge East & Swineshaw",520,138.0,321.60,13.164,0,0.00,0.00,0.00
E02001238,"Droylsden East",769,388.0,426.22,18.007,0,0.00,0.00,0.00
E02001239,"Droylsden Central",733,86.0,689.73,15.125,2,0.00,3664.71,0.00
E02001240,"Droylsden West",670,154.0,17.14,9.660,0,0.00,0.00,0.00
E02001241,"Ashton Central",860,395.0,9542.74,31.075,9,0.00,26041.35,2426.68
E02001242,"Audenshaw",845,220.0,279.36,6.679,1,0.00,0.00,0.00
E02001243,"Stalybridge South",586,323.0,1212.67,26.354,2,0.00,8024.52,0.00
E02001244,"Dukinfield East & Hough Hill",677,187.0,621.20,7.330,0,0.00,0.00,0.00
E02001245,"Dukinfield West",727,240.0,456.39,14.788,3,0.00,0.00,0.00
E02001246,"Newtonmoor",673,49.0,0.00,7.408,0,0.00,0.00,0.00
E02001247,"Guide Bridge",776,270.0,728.81,9.623,0,0.00,0.00,0.00
E02001248,"Hyde North",765,136.0,355.50,15.516,0,0.00,0.00,1090.04
E02001249,"Denton North",856,134.0,2357.16,17.582,3,0.00,9236.43,0.00
E02001250,"Godley",822,136.0,528.23,8.822,0,0.00,0.00,0.00
E02001251,"Mottram",777,474.0,149.95,10.659,0,0.00,0.00,0.00
E02001252,"Dane Bank",848,191.0,504.48,7.947,0,0.00,0.00,0.00
E02001253,"Denton West",800,134.0,3619.51,7.041,0,0.00,7415.82,0.00
E02001254,"Denton East",793,280.0,288.90,8.369,0,0.00,0.00,0.00
E02001255,"Hattersley",754,136.0,716.99,12.973,0,0.00,8731.73,0.00
E02001256,"Hyde South",784,345.0,2299.47,36.000,1,0.00,18156.47,0.00
E02001257,"Denton South",724,134.0,143.16,21.334,0,0.00,0.00,0.00
E02001258,"Cheetham Fold & Gee Cross",691,136.0,284.16,9.807,0,0.00,0.00,0.00
