MSOA,Name,index-of-transport-accesibility,chargepoints
S02001476,"?",0,0
S02001477,"?",0,0
S02001478,"?",0,0
S02001479,"?",0,0
S02001480,"?",0,0
S02001481,"?",0,0
S02001482,"?",0,0
S02001483,"?",0,0
S02001484,"?",0,0
S02001485,"?",0,0
S02001486,"?",0,0
S02001487,"?",0,0
S02001488,"?",0,0
S02001489,"?",0,0
S02001490,"?",0,0
S02001491,"?",0,0
S02001492,"?",0,0
S02001493,"?",0,0
S02001494,"?",0,0
S02001495,"?",0,0
S02001496,"?",0,0
S02001497,"?",0,0
S02001498,"?",0,0
S02001499,"?",0,0
S02001500,"?",0,0
S02001501,"?",0,0
S02001502,"?",0,0
S02001503,"?",0,0
S02001504,"?",0,0
S02001505,"?",0,0
