MSOA,Name,index-of-transport-accessibility,chargepoints,ulev,evhs,estimated-capacity
E02001098,"Shaw & Crompton",794,0,130.0,11.540,91.87
E02001099,"Wood End",844,1,130.0,11.345,69.54
E02001100,"Clough & Shaw Side",795,2,462.0,12.889,842.83
E02001101,"Royton North",840,0,334.0,8.349,57.57
E02001102,"Royton East & Cowlishaw",855,0,130.0,9.519,82.13
E02001103,"Diggle",680,0,155.0,31.060,468.62
E02001104,"Moorside & Sholver",777,0,322.0,4.615,251.68
E02001105,"Royton South West",921,3,285.0,12.694,1716.03
E02001106,"Royton South East",902,0,184.0,11.919,151.18
E02001107,"Chadderton North",957,0,157.0,4.567,344.79
E02001108,"Derker",766,3,192.0,2.543,352.04
E02001109,"Waterhead",774,0,192.0,11.006,241.58
E02001110,"New Delph",557,0,239.0,28.576,661.79
E02001111,"Oldham Town North",849,15,425.0,7.571,852.90
E02001112,"Middleton Junction",901,0,330.0,8.560,3484.46
E02001113,"Busk",909,2,157.0,9.655,3926.91
E02001114,"Chadderton Central",943,3,103.0,11.686,484.61
E02001115,"Lees & Hey",671,0,192.0,9.582,134.59
E02001116,"Salem",794,0,192.0,9.728,203.32
E02001117,"Greenfield & Uppermill",439,2,101.0,34.456,1195.22
E02001118,"Springhead & Grasscroft",644,0,174.0,9.856,160.88
E02001119,"Alexandra Park",808,2,528.0,25.377,0.00
E02001121,"Oldham Town South",854,4,295.0,6.543,251.66
E02001123,"Alt",715,3,241.0,7.174,0.00
E02001124,"Chadderton South East",926,0,206.0,6.031,62.63
E02001125,"Chadderton South West",940,1,187.0,8.324,2832.76
E02001126,"Hathershaw",794,0,103.0,3.551,261.14
E02001127,"Lime Side & Garden Suburb",833,0,149.0,3.102,143.29
E02001128,"Failsworth East",903,9,353.0,6.806,924.00
E02001129,"Failsworth West",811,2,46.0,7.828,807.06
E02001130,"Holt Lane End & Bardsley",832,0,149.0,3.522,866.43
E02001131,"Failsworth South",741,0,130.0,3.665,0.00
E02006860,"Werneth",890,0,206.0,9.881,122.78
