MSOA,index-of-transport-accesibility,chargepoints
E02002271,0.097,0.00
E02002272,0.124,0.02
E02002273,0.199,0.01
E02002274,0.126,0.00
E02002275,0.127,0.01
E02002276,0.125,0.00
E02002277,0.091,0.00
E02002278,0.115,0.00
E02002279,0.122,0.00
E02002280,0.108,0.02
E02002281,0.094,0.01
E02002282,0.108,0.00
E02002283,0.093,0.01
E02002284,0.12,0.00
E02002285,0.112,0.00
E02002286,0.093,0.01
E02002287,0.094,0.01
E02002288,0.122,0.00
E02002289,0.081,0.00
E02002290,0.108,0.00
E02002291,0.113,0.00
E02002292,0.095,0.00
E02002293,0.079,0.01
E02002294,0.089,0.00
E02002295,0.072,0.02
E02002296,0.107,0.01
E02002297,0.165,0.00
E02002298,0.094,0.00
E02002299,0.109,0.02
E02002300,0.135,0.01
E02002301,0.127,0.00
E02002302,0.145,0.00
E02002303,0.111,0.01
E02002304,0.135,0.01
E02002305,0.095,0.00
E02002306,0.113,0.00
E02002307,0.118,0.00
E02002308,0.129,0.00
E02002309,0.084,0.00
E02002310,0.105,0.00
E02002311,0.103,0.00
E02002312,0.103,0.00
E02002313,0.132,0.01
E02002314,0.143,0.00
E02002315,0.111,0.00
E02002316,0.187,0.00
E02002317,0.119,0.00
E02002318,0.115,0.00
E02002319,0.149,0.01
E02002320,0.157,0.00
E02002321,0.196,0.00
E02002322,0,0.00
E02002323,0.163,0.00
E02002324,0.131,0.00
E02002325,0.17,0.00
E02002326,0.188,0.00
E02002327,0.151,0.00
E02002328,0.161,0.02
E02002329,0.174,0.01
