MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
E02005041,"Ash & Wingham",0,296.0,1030.46,35.895,0,0,0.00,0.00,0.00,9.0122
E02005042,"Sandwich & Eastry",0,339.0,7137.93,26.280,5,0,0.00,1638.43,7477.09,86.5038
E02005043,"Deal North & West",0,133.0,144.98,13.125,0,0,0.00,0.00,0.00,4.9658
E02005044,"Deal East",0,181.0,1268.91,27.848,9,0,0.00,5708.89,0.00,1.6505
E02005045,"Mill Hill",0,181.0,722.83,14.424,0,0,0.00,0.00,0.00,1.1
E02005046,"Aylesham & Elvington",0,525.0,276.21,28.676,0,0,0.00,649.56,0.00,2.634
E02005047,"Walmer",0,133.0,0.00,12.588,0,0,0.00,0.00,0.00,0.45
E02005048,"Eythorne & Shepherdswell",0,530.0,140.55,21.974,0,0,0.00,86.22,0.00,4.29
E02005049,"Kingsdown & St Margaret's-at-Cliffe",0,223.0,964.89,24.861,0,0,0.00,0.00,0.00,0.98
E02005050,"Kearsney",0,180.0,2325.39,12.305,3,0,0.00,12012.41,13524.53,0.49
E02005051,"Buckland & St Radigunds",0,180.0,173.98,9.390,0,0,0.00,0.00,0.00,17.3863
E02005052,"Dover East",0,180.0,3790.23,23.712,8,0,0.00,3902.88,0.00,15.4212
E02005053,"Dover West",0,90.0,2241.65,9.885,3,0,0.00,5284.12,4090.44,1.53985
E02005054,"Elms Vale & Capel-le-Ferne",0,270.0,197.94,16.249,0,0,0.00,0.00,0.00,3.27
