MSOA,Name,index-of-transport-accessibility,chargepoints,ulev,evhs
W02000200,"Dulais Valley",0,0,103.0,15.417
W02000201,"Glynneath",0,0,150.0,5.015
W02000202,"Pontardawe",0,0,328.0,38.499
W02000203,"Aberdulais & Resolfen",0,0,153.0,9.359
W02000204,"Cadoxton & Bryn-coch",0,0,153.0,14.401
W02000205,"Neath Abbey",0,2,103.0,17.473
W02000206,"Neath Town",0,1,153.0,16.410
W02000207,"Cimla",0,0,153.0,3.382
W02000208,"Skewen & Jersey Marine",0,1,290.0,25.032
W02000209,"Glyncorrwg & Blaengwynfi",0,0,162.0,7.693
W02000210,"Neath South",0,0,50.0,4.592
W02000211,"Briton Ferry",0,0,50.0,6.665
W02000212,"Cwmafan & Bryn",0,0,162.0,9.605
W02000213,"Baglan",0,0,100.0,6.772
W02000214,"Sandfields",0,1,112.0,9.568
W02000215,"Aberafan",0,0,112.0,11.374
W02000216,"Port Talbot East",0,2,112.0,17.656
W02000217,"Port Talbot South & Margam",0,0,91.0,8.726
W02000417,"Ystalyfera & Gwaun-Cae-Gurwen",0,1,166.0,17.431
