MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02004368,"Ashdown",0,253.0,1066.23,10.562,2,0.00
E02004369,"Conquest & St Helens",0,215.0,382.05,9.081,0,0.00
E02004370,"Hollington",0,253.0,572.11,8.680,2,0.00
E02004371,"Ore",0,155.0,31.32,9.198,0,0.00
E02004372,"Broomgrove",0,155.0,0.00,4.872,0,0.00
E02004373,"Silverhill",0,253.0,532.22,24.851,0,0.00
E02004374,"Old Hastings",0,155.0,658.29,9.951,1,0.00
E02004375,"Braybrooke & Bohemia",0,253.0,358.54,8.209,1,0.00
E02004376,"Central Hastings",0,155.0,1316.68,25.468,4,0.00
E02004377,"West St Leonards",0,129.0,1359.94,10.180,0,0.00
E02004378,"Central St Leonards",0,253.0,240.43,10.841,0,0.00
