MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02000895,"Chingford Green West",0,447.0,498.22,17.538,1,0.00
E02000896,"Chingford Green East",0,447.0,1049.03,73.562,1,0.00
E02000897,"Friday Hill",0,823.0,173.41,19.646,6,0.00
E02000898,"Larkswood",0,447.0,563.45,18.025,0,0.00
E02000899,"Chingford Mount",0,447.0,350.07,17.294,0,0.00
E02000900,"South Chingford",0,447.0,2387.98,17.051,1,0.00
E02000901,"Highams Park East",0,1300.0,857.50,23.381,4,2418.36
E02000902,"Highams Park West",0,924.0,417.75,10.588,6,0.00
E02000903,"Higham Hill",0,924.0,280.12,2.268,3,0.00
E02000904,"Fulbourne Road & Walthamstow Forest",0,853.0,796.47,2.370,10,0.00
E02000905,"Lloyd Park",0,477.0,570.44,2.022,12,0.00
E02000906,"William Morris",0,477.0,41.24,1.610,7,96.24
E02000907,"Wood Street",0,477.0,318.48,3.140,3,0.00
E02000908,"Blackhorse Road",0,739.0,801.92,3.153,14,0.00
E02000909,"Upper Walthamstow",0,856.0,287.33,2.473,13,0.00
E02000910,"Walthamstow Central",0,1099.0,288.26,13.831,14,0.00
E02000911,"Walthamstow Market & South Grove",0,477.0,409.35,3.353,8,0.00
E02000912,"Markhouse & St James Park",0,709.0,351.88,2.155,2,0.00
E02000913,"Whipps Cross",0,1088.0,906.08,2.848,37,0.00
E02000914,"Baker's Arms",0,952.0,686.11,0.492,10,0.00
E02000915,"Leytonstone North",0,379.0,638.58,14.672,5,0.00
E02000916,"Lea Bridge",0,911.0,503.18,0.373,15,0.00
E02000917,"Leyton North",0,611.0,89.85,0.762,6,0.00
E02000918,"Leytonstone East",0,379.0,505.38,33.218,13,0.00
E02000919,"Leyton East",0,611.0,8.96,2.858,11,0.00
E02000920,"Leyton South",0,896.0,1681.64,0.699,10,0.00
E02000921,"Leytonstone South West",0,622.0,762.11,10.988,6,0.00
E02000922,"Leytonstone South East",0,932.0,237.32,6.336,13,0.00
