MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02001539,"Moorends",440,1109.0,80.30,5.631,0,0.00
E02001540,"Askern",431,445.0,845.24,21.122,0,0.00
E02001541,"Thorne",489,1109.0,316.12,11.293,5,0.00
E02001542,"Stainforth",415,1360.0,195.83,15.537,0,0.00
E02001543,"Carcroft",511,222.0,393.04,10.001,0,0.00
E02001544,"Hatfield West",438,60.0,179.57,11.163,1,0.00
E02001545,"Kirk Sandall & Barnby Dun",363,290.0,199.31,21.422,0,0.00
E02001546,"Hatfield East",428,1268.0,2104.71,15.302,2,0.00
E02001547,"Adwick le Street & Woodlands",511,222.0,384.10,12.472,0,0.00
E02001548,"Bentley & Toll Bar",382,150.0,173.89,13.411,1,0.00
E02001549,"Edenthorpe & Mere Lane",389,230.0,1247.43,13.298,0,0.00
E02001550,"Scawthorpe",435,150.0,440.94,11.210,1,0.00
E02001551,"Bentley Rise",419,150.0,1146.23,10.275,0,0.00
E02001552,"Armthorpe North",414,159.0,844.75,13.071,1,136049.62
E02001553,"Wheatley Hills",362,162.0,1502.07,10.308,1,0.00
E02001554,"Cusworth",472,150.0,592.45,11.944,0,0.00
E02001555,"Armthorpe South",377,99.0,407.89,10.763,0,14383.37
E02001556,"Intake",336,131.0,1369.44,7.151,0,0.00
E02001557,"Belle Vue & Town Fields",373,377.0,5512.47,7.631,0,0.00
E02001558,"Cadeby",425,334.0,1200.81,14.771,0,84385.22
E02001559,"Sprotbrough",422,150.0,1345.43,13.411,1,0.00
E02001560,"Central Doncaster & Hyde Park",402,2233.0,6002.03,52.772,3,0.00
E02001561,"Hexthorpe & Balby North",448,246.0,94.64,10.987,0,0.00
E02001562,"Cantley Park",315,215.0,504.36,14.849,1,0.00
E02001563,"Bessacarr Bawtry Road",323,215.0,1989.41,19.656,3,0.00
E02001564,"Old Cantley",333,481.0,8835.65,38.194,0,0.00
E02001565,"Bessacarr Grange & Lakeside",302,314.0,2570.59,15.019,5,0.00
E02001566,"Balby Carr",436,373.0,5642.91,23.090,3,0.00
E02001567,"Balby South",493,215.0,177.25,18.540,0,0.00
E02001568,"Mexborough East",325,112.0,328.50,12.121,0,0.00
E02001569,"Mexborough West",283,64.0,227.69,16.095,0,0.00
E02001570,"Conisbrough North",319,112.0,499.33,9.253,0,0.00
E02001571,"Warmsworth",496,841.0,0.00,17.444,1,0.00
E02001572,"Edlington",436,175.0,466.96,6.521,0,0.00
E02001573,"Conisbrough South",347,48.0,50.00,6.121,0,0.00
E02001574,"Rossington",384,426.0,705.62,13.090,0,0.00
E02001575,"New Rossington",404,127.0,406.42,19.147,1,0.00
E02001576,"Bawtry",299,318.0,10571.63,31.492,0,0.00
E02001577,"Tickhill & Wadworth",289,127.0,1246.85,24.346,0,57257.09
