MSOA,index-of-transport-accesibility,chargepoints
E02002868,0,0.06
E02002869,0,0.03
E02002871,0,0.01
E02002872,0,0.06
E02002873,0,0.00
E02002874,0,0.00
E02002875,0,0.00
E02002876,0,0.06
E02002877,0,0.10
E02002878,0,0.00
E02002879,0,0.00
E02002880,0,0.00
E02002881,0,0.06
E02002882,0,0.01
E02002883,0,0.00
E02002884,0,0.02
E02002885,0,0.05
E02002886,0,0.01
E02002887,0,0.03
E02002888,0,0.00
E02002889,0,0.04
E02002890,0,0.18
E02002891,0,0.00
E02002892,0,0.01
E02002893,0,0.06
E02002894,0,0.00
E02002895,0,0.00
E02002896,0,0.12
E02002897,0,0.01
E02002898,0,0.16
E02002899,0,0.03
E02002901,0,0.00
E02002902,0,0.05
E02002903,0,0.00
E02002904,0,0.00
E02006834,0,0.00
E02006904,0,0.05
E02006905,0,0.04
