MSOA,Name,index-of-transport-accessibility,chargepoints
S02001344,"?",0,0
S02001345,"?",0,0
S02001346,"?",0,0
S02001347,"?",0,0
S02001348,"?",0,0
S02001349,"?",0,0
S02001350,"?",0,0
S02001351,"?",0,0
S02001352,"?",0,0
S02001353,"?",0,0
S02001354,"?",0,0
S02001355,"?",0,0
S02001356,"?",0,0
S02001357,"?",0,0
S02001358,"?",0,0
S02001359,"?",0,0
S02001360,"?",0,0
S02001361,"?",0,0
S02001362,"?",0,0
S02001363,"?",0,0
S02001364,"?",0,0
S02001365,"?",0,0
S02001366,"?",0,0
S02001367,"?",0,0
S02001368,"?",0,0
S02001369,"?",0,0
