MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02006362,"Ashtead East",0,466.0,411.62,66.913,1,0.00
E02006363,"Ashtead West",0,764.0,407.62,34.728,5,0.00
E02006364,"Leatherhead North",0,909.0,6866.12,89.658,5,0.00
E02006365,"Leatherhead South & Ashtead South",0,764.0,2023.34,42.372,0,0.00
E02006366,"Fetcham",0,900.0,372.71,29.450,0,0.00
E02006367,"Bookham North",0,1045.0,193.85,35.391,0,0.00
E02006368,"Bookham South",0,966.0,946.52,33.437,0,0.00
E02006369,"Box Hill & Brockham",0,1923.0,3075.00,44.402,1,0.00
E02006370,"Dorking North & Westhumble",0,1049.0,4001.22,69.986,10,0.00
E02006371,"Dorking South",0,403.0,2331.76,25.204,0,0.00
E02006372,"Holmwoods",0,403.0,553.15,25.340,0,0.00
E02006373,"Westcott",0,403.0,2136.04,48.986,0,0.00
E02006374,"Charlwood",0,1313.0,4575.79,32.685,3,0.00
