MSOA,Name,index-of-transport-accesibility,chargepoints
W02000237,"Ogmore-by-Sea & Llandow",0,0
W02000238,"Cowbridge",0,0
W02000239,"Peterston-super-Ely & Wenvoe",0,2
W02000240,"Llandough & Cogan",0,0
W02000241,"Penarth",0,2
W02000242,"Dinas Powys",0,0
W02000243,"Gibbonsdown",0,0
W02000244,"Lower Penarth & Sully",0,0
W02000245,"Palmerstown",0,0
W02000246,"Barry Dyfan & Illtyd",0,3
W02000247,"Llantwit Major",0,0
W02000248,"Barry East",0,2
W02000249,"Barry West",0,0
W02000250,"Rhoose & Airport",0,2
W02000251,"Barry Island",0,2
