MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02004093,"Hadfield East & Tintwistle",0,296.0,242.73,20.573,0,0.00,0.00,0.00,3.84
E02004094,"Hadfield West & Gamesley",0,296.0,513.28,30.666,0,0.00,0.00,0.00,1.32
E02004095,"Glossop",0,160.0,2234.06,31.114,5,0.00,7420.94,0.00,2.03
E02004096,"Dinting",0,296.0,727.58,31.857,0,0.00,0.00,0.00,14.71
E02004097,"New Mills West & Furness Vale",0,509.0,849.78,44.514,0,0.00,0.00,0.00,9.71
E02004098,"New Mills East & Hayfield",0,349.0,585.38,34.892,0,0.00,1382.83,381.76,1.67
E02004100,"Whaley Bridge & Chinley",0,417.0,1048.42,58.517,0,0.00,16605.29,508.40,8.289
E02004102,"Buxton North",0,273.0,2266.45,28.289,1,0.00,3829.02,0.00,12.38
E02004103,"Buxton South & East",0,139.0,470.97,10.029,5,0.00,3642.05,0.00,0
E02004104,"Buxton Burbage & Harpur Hill",0,139.0,1621.35,13.212,0,0.00,0.00,0.00,5.44
E02006872,"Chapel-en-le-Frith & Hope Valley",0,541.0,4109.43,75.187,1,0.00,5791.01,0.00,1.26
