MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02005319,"Fleetwood Town",75,70.0,1121.77,16.081,4,0.00
E02005320,"Fleetwood Warren",69,70.0,261.00,4.617,0,0.00
E02005321,"Fleetwood Rossall & Chatsworth",82,223.0,244.99,6.946,0,0.00
E02005322,"Preesall",125,445.0,1118.08,30.245,0,0.00
E02005323,"Fleetwood South East",93,517.0,1885.24,9.219,0,0.00
E02005324,"Bonds",175,1045.0,4078.94,35.071,4,0.00
E02005325,"Garstang & Catterall",206,294.0,1419.30,49.038,2,0.00
E02005326,"Cleveleys West",120,153.0,938.11,21.111,2,0.00
E02005327,"Pilling",231,700.0,229.07,30.695,0,0.00
E02005328,"Cleveleys East",148,153.0,691.99,15.713,2,0.00
E02005329,"Thornton West",135,679.0,985.15,16.142,0,0.00
E02005330,"Thornton East & Carleton West",160,304.0,676.19,16.960,0,0.00
E02005331,"Poulton North & Carleton East",216,151.0,1262.89,40.431,2,0.00
E02005332,"Poulton South",231,243.0,262.94,19.137,0,0.00
