MSOA,Name,index-of-transport-accessibility,chargepoints,ulev,evhs,estimated-capacity
E02001708,"Kingston Park & Dinnington",281,7,444.0,95.954,3210.85
E02001709,"North Gosforth",263,1,604.0,41.846,2796.82
E02001710,"Fawdon South",269,10,295.0,43.981,607.51
E02001711,"Woolsington & Airport",287,13,698.0,39.037,6553.59
E02001712,"South Gosforth",248,2,383.0,44.854,428.04
E02001713,"Coxlodge & West Gosforth",252,9,532.0,121.666,1448.61
E02001714,"High Heaton",281,4,512.0,52.239,4940.16
E02001715,"Kenton",273,2,452.0,37.609,2532.84
E02001718,"Blakelaw",283,1,395.0,13.078,102.40
E02001719,"North Heaton",304,1,200.0,28.534,1424.96
E02001720,"North Jesmond",272,0,88.0,15.064,193.10
E02001721,"Throckley & Newburn",267,0,223.0,29.434,712.47
E02001722,"Denton",277,0,100.0,16.821,471.14
E02001723,"Cowgate",275,1,202.0,8.088,401.94
E02001724,"South Jesmond & Sandyford",289,0,160.0,18.506,156.81
E02001725,"Heaton South",296,2,257.0,25.830,564.86
E02001726,"Fenham",268,0,325.0,28.858,486.65
E02001727,"Walkergate",272,2,240.0,6.488,908.84
E02001728,"Lemington",278,2,123.0,23.535,154.92
E02001729,"Nunsmoor",269,1,190.0,9.587,2996.35
E02001730,"Shieldfield & Heaton Park",286,31,273.0,15.885,2255.03
E02001731,"City Centre & Arthur's Hill",292,104,542.0,16.273,8020.35
E02001732,"Scotswood",284,0,225.0,20.157,1220.89
E02001733,"Byker",256,10,128.0,15.640,3974.93
E02001734,"Benwell",275,0,225.0,15.873,274.25
E02001735,"Walker North",239,0,128.0,3.910,144.67
E02001736,"Elswick",261,3,382.0,15.658,4215.60
E02001737,"Walker South",232,0,128.0,6.905,1026.42
E02006893,"Westerhope",269,2,100.0,22.505,560.27
