MSOA,Name,index-of-transport-accesibility,chargepoints
S02001506,"?",0,0
S02001507,"?",0,0
S02001508,"?",0,0
S02001509,"?",0,0
S02001510,"?",0,0
S02001511,"?",0,0
S02001512,"?",0,0
S02001513,"?",0,0
S02001514,"?",0,0
S02001515,"?",0,0
S02001516,"?",0,0
S02001517,"?",0,0
S02001518,"?",0,0
S02001519,"?",0,0
S02001520,"?",0,0
S02001521,"?",0,0
S02001522,"?",0,0
S02001523,"?",0,0
S02001524,"?",0,0
S02001525,"?",0,0
S02001526,"?",0,0
S02001527,"?",0,0
S02001528,"?",0,0
S02001529,"?",0,0
S02001530,"?",0,0
S02001531,"?",0,0
S02001532,"?",0,0
S02001533,"?",0,0
