MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02003775,"Willingham & Over",0,1218.0,570.39,44.920,0,0.00,545.82,0.00
E02003776,"Cottenham",0,1182.0,672.34,49.267,0,0.00,0.00,0.00
E02003777,"Longstanton",0,1489.0,2467.71,62.952,8,0.00,0.00,0.00
E02003778,"Waterbeach and Landbeach",0,560.0,3916.11,38.003,0,0.00,0.00,0.00
E02003779,"Bar Hill & Boxworth",0,623.0,3102.62,38.655,2,0.00,9015.01,1906.33
E02003780,"HIston",0,625.0,3884.99,64.431,2,0.00,0.00,0.00
E02003781,"Milton",0,1201.0,13170.54,35.984,13,0.00,7198.42,0.00
E02003783,"Girton & Barton",0,623.0,2926.24,29.077,0,0.00,249.31,0.00
E02003784,"Hardwick & Highfields",0,1051.0,1566.18,71.304,0,0.00,0.00,0.00
E02003785,"Fulbourn & Teversham",0,1220.0,3229.22,34.311,1,0.00,8148.19,0.00
E02003786,"Great Shelford & Stapleford",0,894.0,2126.94,52.787,3,0.00,0.00,0.00
E02003787,"Barrington",0,1874.0,2618.15,45.486,0,0.00,99.60,12231.44
E02003788,"Little Shelford ",0,1679.0,2015.76,69.490,0,0.00,0.00,0.00
E02003789,"Sawston",0,628.0,1221.60,45.511,1,0.00,0.00,0.00
E02003790,"Linton & Balsham",0,1134.0,1360.20,74.523,0,0.00,240.94,0.00
E02003791,"Duxford",0,1672.0,7362.89,77.824,3,0.00,0.00,0.00
E02003792,"Meldreth",0,428.0,2963.43,51.623,0,0.00,268.43,0.00
E02003793,"Bassingbourn & the Mordens",0,526.0,708.04,38.881,0,0.00,0.00,0.00
E02006873,"Cambourne",0,889.0,3178.07,68.445,3,0.00,5871.20,0.00
E02006874,"Papworth",0,2189.0,2439.77,99.299,0,0.00,309.30,0.00
