MSOA,index-of-transport-accesibility,chargepoints
E02000024,0,0.02
E02000025,0,0.06
E02000026,0,0.00
E02000027,0,0.00
E02000028,0,0.00
E02000029,0,0.00
E02000030,0,0.01
E02000031,0,0.01
E02000032,0,0.00
E02000033,0,0.00
E02000034,0,0.01
E02000035,0,0.01
E02000036,0,0.01
E02000037,0,0.00
E02000038,0,0.00
E02000039,0,0.00
E02000040,0,0.02
E02000041,0,0.00
E02000042,0,0.01
E02000043,0,0.00
E02000044,0,0.00
E02000045,0,0.00
E02000046,0,0.00
E02000047,0,0.00
E02000048,0,0.11
E02000049,0,0.00
E02000050,0,0.01
E02000051,0,0.00
E02000052,0,0.01
E02000053,0,0.05
E02000054,0,0.01
E02000055,0,0.01
E02000056,0,0.01
E02000057,0,0.02
E02000058,0,0.00
E02000059,0,0.01
E02000060,0,0.01
E02000061,0,0.00
E02000062,0,0.03
E02000063,0,0.00
E02000064,0,0.03
