MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02005334,"Leicester Forest East",0,337.0,1326.19,6.524,6,0.00
E02005335,"Kirby Muxloe & Thurlaston",0,629.0,828.08,32.256,0,0.00
E02005336,"Thorpe Astley",0,3428.0,917.26,44.436,0,0.00
E02005337,"Braunstone Town",0,543.0,1608.30,10.921,0,0.00
E02005338,"Enderby & Glen Parva",0,2272.0,12722.14,42.703,10,0.00
E02005339,"Narborough",0,498.0,3238.69,45.765,4,0.00
E02005340,"Blaby Village",0,1874.0,965.27,27.676,8,0.00
E02005341,"Whetstone",0,832.0,1057.96,27.007,4,5089.84
E02005342,"Cosby",0,798.0,255.80,29.505,2,0.00
E02005343,"Countesthorpe & Kilby",0,437.0,482.90,25.252,0,0.00
E02005344,"Stoney Stanton",0,2052.0,982.10,42.963,0,0.00
E02006820,"Glenfield",0,707.0,3692.65,15.419,0,0.00
