MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02004636,"Longlevens",0,619.0,725.28,21.382,2,0.00,1214.94,0.00
E02004637,"Kingsholm & Wotton",0,619.0,2700.88,11.836,1,0.00,8398.35,6975.65
E02004638,"Elmbridge",0,619.0,293.84,13.851,0,0.00,0.00,0.00
E02004639,"Central Gloucester & Hempsted",0,619.0,6213.78,34.053,5,0.00,17094.56,2037.63
E02004640,"Barton",0,299.0,946.61,4.313,0,0.00,12118.73,0.00
E02004641,"Hucclecote",0,370.0,300.75,22.235,1,0.00,1950.81,0.00
E02004642,"Coney Hill",0,1098.0,5171.27,53.000,2,14970.18,10538.54,0.00
E02004643,"Tredworth",0,299.0,63.87,6.545,0,0.00,0.00,0.00
E02004644,"Podsmead & Linden",0,619.0,89.06,22.274,0,0.00,0.00,0.00
E02004645,"Abbeymead & Abbeydale",0,370.0,704.07,22.954,1,0.00,0.00,0.00
E02004646,"Matson & Robinswood",0,199.0,358.65,26.815,0,0.00,0.00,0.00
E02004647,"Tuffley",0,299.0,35.71,12.148,0,0.00,0.00,0.00
E02004648,"Lower Tuffley",0,718.0,67.94,9.222,0,0.00,0.00,0.00
E02004649,"Quedgeley North",0,818.0,245.63,20.584,1,0.00,0.00,0.00
E02004650,"Quedgeley South",0,1098.0,3774.61,66.739,7,0.00,15429.09,1744.63
