MSOA,Name,index-of-transport-accessibility,chargepoints
S02002254,"?",0,0
S02002255,"?",0,0
S02002256,"?",0,0
S02002257,"?",0,0
S02002258,"?",0,0
S02002259,"?",0,0
S02002260,"?",0,0
S02002261,"?",0,0
S02002262,"?",0,0
S02002263,"?",0,0
S02002264,"?",0,0
S02002265,"?",0,0
S02002266,"?",0,0
S02002267,"?",0,0
S02002268,"?",0,0
S02002269,"?",0,0
S02002270,"?",0,0
S02002271,"?",0,0
S02002272,"?",0,0
S02002273,"?",0,0
S02002274,"?",0,0
S02002275,"?",0,0
S02002276,"?",0,0
S02002277,"?",0,0
S02002278,"?",0,0
S02002279,"?",0,0
S02002280,"?",0,0
S02002281,"?",0,0
S02002282,"?",0,0
S02002283,"?",0,0
S02002284,"?",0,0
S02002285,"?",0,0
S02002286,"?",0,0
S02002287,"?",0,0
S02002288,"?",0,0
S02002289,"?",0,0
S02002290,"?",0,0
S02002291,"?",0,0
