MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02004078,"Cotmanhay",0,243.0,581.01,7.180,0,18564.84,0.00,0.00
E02004080,"Ilkeston Town",0,305.0,4675.50,24.999,3,0.00,15375.91,0.00
E02004081,"Breadsall",0,2467.0,1905.65,11.680,1,0.00,0.00,672.20
E02004082,"West Hallam",0,1975.0,1005.24,5.913,1,0.00,0.00,63685.81
E02004083,"Hallam Fields & Greenwood Ave",0,817.0,1063.02,7.680,1,0.00,226.54,0.00
E02004084,"Kirk Hallam",0,243.0,563.77,5.147,0,0.00,0.00,0.00
E02004085,"Sandiacre & Stanton",0,606.0,2237.39,24.002,1,0.00,1730.30,11525.77
E02004086,"Borrowash & Ockbrook",0,374.0,1031.04,38.105,0,0.00,1230.18,0.00
E02004087,"Long Eaton North",0,475.0,661.29,14.325,1,0.00,0.00,0.00
E02004088,"Long Eaton West",0,606.0,1019.60,19.585,0,0.00,0.00,0.00
E02004089,"Long Eaton Town",0,232.0,2841.80,39.858,3,0.00,20670.93,0.00
E02004090,"Breaston & Draycott",0,606.0,1168.78,33.420,0,0.00,419.75,4020.47
E02004091,"Long Eaton South",0,232.0,2169.10,19.042,1,0.00,0.00,423.23
E02004092,"Sawley",0,232.0,945.27,17.269,1,0.00,0.00,0.00
E02006828,"Shipley",0,243.0,886.21,6.574,3,0.00,0.00,4642.32
