MSOA,Name,index-of-transport-accessibility,chargepoints
S02001236,"?",0,0
S02001237,"?",0,0
S02001238,"?",0,0
S02001239,"?",0,0
S02001240,"?",0,0
S02001241,"?",0,0
S02001242,"?",0,0
S02001243,"?",0,0
S02001244,"?",0,0
S02001245,"?",0,0
S02001246,"?",0,0
S02001247,"?",0,0
S02001248,"?",0,0
S02001249,"?",0,0
S02001250,"?",0,0
S02001251,"?",0,0
S02001252,"?",0,0
S02001253,"?",0,0
S02001254,"?",0,0
S02001255,"?",0,0
S02001256,"?",0,0
S02001257,"?",0,0
S02001258,"?",0,0
S02001259,"?",0,0
S02001260,"?",0,0
S02001261,"?",0,0
S02001262,"?",0,0
S02001263,"?",0,0
S02001264,"?",0,0
S02001265,"?",0,0
S02001266,"?",0,0
S02001267,"?",0,0
S02001268,"?",0,0
S02001269,"?",0,0
S02001270,"?",0,0
S02001271,"?",0,0
S02001272,"?",0,0
S02001273,"?",0,0
S02001274,"?",0,0
S02001275,"?",0,0
S02001276,"?",0,0
S02001277,"?",0,0
S02001278,"?",0,0
S02001279,"?",0,0
S02001280,"?",0,0
S02001281,"?",0,0
S02001282,"?",0,0
S02001283,"?",0,0
S02001284,"?",0,0
