MSOA,Name,index-of-transport-accessibility,chargepoints,ulev,evhs,estimated-capacity
E02001544,"Hatfield West",438,1,60.0,11.163,179.57
E02001545,"Kirk Sandall & Barnby Dun",363,0,290.0,21.422,199.31
E02001546,"Hatfield East",428,2,1268.0,15.302,2104.71
E02001547,"Adwick le Street & Woodlands",511,0,222.0,12.472,384.10
E02001548,"Bentley & Toll Bar",382,1,150.0,13.411,173.89
E02001549,"Edenthorpe & Mere Lane",389,0,230.0,13.298,1247.43
E02001550,"Scawthorpe",435,1,150.0,11.210,440.94
E02001551,"Bentley Rise",419,0,150.0,10.275,1146.23
E02001552,"Armthorpe North",414,1,159.0,13.071,844.75
E02001553,"Wheatley Hills",362,1,162.0,10.308,1502.07
E02001554,"Cusworth",472,0,150.0,11.944,592.45
E02001555,"Armthorpe South",377,0,99.0,10.763,407.89
E02001556,"Intake",336,0,131.0,7.151,1369.44
E02001557,"Belle Vue & Town Fields",373,0,377.0,7.631,5512.47
E02001558,"Cadeby",425,0,334.0,14.771,1200.81
E02001559,"Sprotbrough",422,1,150.0,13.411,1345.43
E02001560,"Central Doncaster & Hyde Park",402,3,2233.0,52.772,6002.03
E02001561,"Hexthorpe & Balby North",448,0,246.0,10.987,94.64
E02001562,"Cantley Park",315,1,215.0,14.849,504.36
E02001563,"Bessacarr Bawtry Road",323,3,215.0,19.656,1989.41
E02001564,"Old Cantley",333,0,481.0,38.194,8835.65
E02001565,"Bessacarr Grange & Lakeside",302,5,314.0,15.019,2570.59
E02001566,"Balby Carr",436,3,373.0,23.090,5642.91
E02001567,"Balby South",493,0,215.0,18.540,177.25
E02001568,"Mexborough East",325,0,112.0,12.121,328.50
E02001569,"Mexborough West",283,0,64.0,16.095,227.69
E02001570,"Conisbrough North",319,0,112.0,9.253,499.33
E02001571,"Warmsworth",496,1,841.0,17.444,0.00
E02001572,"Edlington",436,0,175.0,6.521,466.96
E02001573,"Conisbrough South",347,0,48.0,6.121,50.00
E02001574,"Rossington",384,0,426.0,13.090,705.62
E02001575,"New Rossington",404,1,127.0,19.147,406.42
E02001576,"Bawtry",299,0,318.0,31.492,10571.63
E02001577,"Tickhill & Wadworth",289,0,127.0,24.346,1246.85
E02001578,"Brampton & West Melton",385,2,229.0,18.657,1876.48
E02001579,"Wath upon Dearne",311,4,306.0,41.738,1221.34
E02001580,"Swinton North",272,2,64.0,15.181,586.10
E02001581,"Swinton South",276,2,128.0,8.897,0.00
E02001582,"Rawmarsh North West",296,0,64.0,11.764,257.68
E02001583,"Rawmarsh North East",273,0,128.0,10.466,0.00
E02001584,"Thorpe Hesley",471,0,1567.0,9.860,1039.91
E02001585,"Rawmarsh South",293,2,325.0,13.094,4359.17
E02001586,"Greasborough",377,0,138.0,8.863,379.11
E02001587,"Thrybergh & Hooton Roberts",291,2,178.0,5.485,606.56
E02001588,"Kimberworth Park",400,0,74.0,8.149,75.78
E02001589,"Ravenfield & Bramley North",359,0,435.0,16.170,54.99
E02001590,"East Herringthorpe",348,0,253.0,5.152,1438.01
E02001591,"Eastwood & East Dene",315,2,253.0,5.340,753.01
E02001592,"Kimberworth",440,0,74.0,8.149,324.31
E02001593,"Masbrough & Bradgate",411,0,261.0,12.237,1638.82
E02001594,"Rotherham Central",333,18,672.0,57.995,4671.12
E02001595,"Maltby West & Hellaby",375,5,246.0,18.013,2191.75
E02001596,"Wickersley North",380,0,248.0,23.847,67.47
E02001597,"Maltby East",325,1,465.0,22.709,825.18
E02001598,"Herringthorpe",387,1,435.0,8.365,322.60
E02001599,"Wickersley South & Bramley South",405,0,369.0,25.134,556.21
E02001600,"Rotherham South",375,1,253.0,22.831,1682.07
E02001601,"Whiston",412,0,369.0,10.374,189.69
E02001602,"Brinsworth",404,0,427.0,14.525,1871.91
E02001603,"Thurcroft",370,0,385.0,19.706,379.65
E02001604,"Catcliffe",358,5,459.0,20.950,1973.38
E02001605,"Laughton & Throapham",321,0,520.0,26.029,329.25
E02001606,"Dinnington",299,2,272.0,21.057,543.01
E02001607,"Aston",362,2,87.0,25.107,357.34
E02001608,"Swallownest & Wales",391,4,113.0,20.899,1292.02
E02001609,"Anston & Woodsetts",326,0,458.0,41.676,688.24
E02001610,"Kiveton",321,4,269.0,26.906,1928.99
E02001611,"Stocksbridge",434,0,174.0,40.177,2174.83
E02001612,"Deepcar & Bolsterstone",460,0,1397.0,23.409,360.55
E02001613,"High Green & Burncross",413,0,1223.0,27.546,463.30
E02001614,"Chapeltown",435,0,1223.0,46.842,1214.69
E02001615,"Grenoside & Ecclesfield North",406,1,1598.0,23.906,1593.98
E02001616,"Ecclesfield South",386,0,1304.0,10.558,67.30
E02001617,"Shiregreen North",423,0,321.0,3.761,227.45
E02001618,"Oughtibridge & Bradfield",301,0,1617.0,28.224,1146.90
E02001619,"Parson Cross",350,4,1524.0,9.221,501.15
E02001620,"Shiregreen South",404,0,1524.0,8.092,437.46
E02001621,"Sheffield Lane Top & Longley Park",360,0,81.0,4.252,332.49
E02001622,"Southey Green West",320,0,301.0,7.759,447.26
E02001623,"Firth Park",360,0,248.0,5.012,820.73
E02001624,"Brightside & Wincobank",408,0,562.0,3.526,996.94
E02001625,"Southey Green East",325,0,301.0,5.356,761.55
E02001626,"Wadsley & Marlcliffe",250,0,220.0,6.586,193.74
E02001627,"Hillsborough",269,3,301.0,14.788,4778.91
E02001628,"Tinsley & Carbrook",458,2,427.0,3.595,15171.48
E02001629,"Shirecliffe & Parkwood Springs",285,0,302.0,3.007,641.73
E02001630,"Crabtree & Fir Vale",319,0,328.0,1.901,1840.23
E02001631,"Malin Bridge & Wisewood",233,0,220.0,10.954,452.42
E02001632,"Burngreave & Grimesthorpe",326,3,788.0,4.569,2695.11
E02001633,"Upper Stannington & Loxley",152,0,246.0,13.373,646.73
E02001634,"Walkley",211,0,602.0,13.738,449.06
E02001635,"Lower Stannington",186,0,576.0,9.637,184.38
E02001636,"Upperthorpe",229,1,1879.0,34.511,1650.33
E02001637,"Darnall",353,1,323.0,4.426,2109.73
E02001638,"Springvale & Steel Bank",199,0,356.0,18.402,57.05
E02001639,"Crookes",193,0,576.0,17.729,68.34
E02001640,"Broomhill & Lower Crookesmoor",224,0,804.0,34.872,1470.50
E02001642,"Littledale & Handsworth North",416,0,296.0,5.565,2149.12
E02001643,"Sandygate & Crosspool",168,0,644.0,74.915,317.07
E02001646,"Broomhall",245,2,644.0,31.232,848.99
E02001647,"Handsworth South",393,0,296.0,5.906,513.40
E02001648,"Endcliffe & Ranmoor",185,0,644.0,34.920,736.05
E02001649,"Woodthorpe",366,0,437.0,3.955,1060.79
E02001650,"Sharrow",269,0,929.0,25.349,1004.46
E02001651,"Fulwood & Lodge Moor",142,0,890.0,31.878,867.73
E02001652,"Highfield & Lowfield",289,0,1111.0,21.577,4168.73
E02001653,"Norfolk Park",272,0,109.0,3.002,615.47
E02001654,"Woodhouse Mill",316,0,56.0,5.465,122.78
E02001655,"Richmond & Stradbroke",354,0,144.0,6.927,153.05
E02001656,"Brincliffe & Sharrow Vale",202,0,766.0,28.497,448.80
E02001657,"Ecclesall & Greystones",191,0,410.0,75.778,417.10
E02001658,"Arbourthorne",315,0,171.0,2.082,563.98
E02001659,"Woodhouse West",360,0,56.0,6.092,367.37
E02001660,"Nether Edge",224,0,618.0,44.940,234.41
E02001661,"Heeley & Newfield Green",250,2,265.0,4.334,753.93
E02001662,"Intake",324,0,227.0,20.637,163.97
E02001663,"Meersbrook",211,1,413.0,47.271,1874.33
E02001664,"Gleadless",307,0,88.0,9.938,109.70
E02001665,"Bents Green & Millhouses",164,0,766.0,47.727,1315.78
E02001666,"Beighton",326,2,217.0,12.584,2134.02
E02001669,"Woodseats",188,0,304.0,13.941,2201.33
E02001670,"Herdings & Gleadless Valley",226,0,270.0,0.553,0.00
E02001671,"Hackenthorpe",320,3,217.0,13.465,1376.95
E02001672,"Charnock & Basegreen",289,0,270.0,8.167,150.36
E02001673,"Sothall",306,0,225.0,36.686,532.82
E02001674,"Norton & Norton Lees",191,1,182.0,12.355,1521.66
E02001675,"Westfield & Waterthorpe",289,0,129.0,19.754,1992.71
E02001676,"Beauchief",172,0,478.0,8.777,434.00
E02001678,"Dore & Whirlow",110,0,462.0,66.953,1003.84
E02001679,"Greenhill & Lowedges",182,0,182.0,10.549,46.46
E02001680,"Batemoor & Jordanthorpe",190,0,182.0,7.008,496.04
E02001681,"Totley & Bradway",139,0,443.0,77.750,237.08
E02006803,"Mosborough & Halfway",278,0,217.0,22.486,1547.86
E02006843,"Cathedral & Kelham",286,0,475.0,2.262,3355.73
E02006844,"Devonshire Quarter",250,0,436.0,6.941,2344.11
E02006868,"Park Hill & Wybourn",351,0,570.0,8.276,4357.93
E02006869,"Birley",317,0,88.0,19.234,445.50
