MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02005189,"Clayton Brook",803,417.0,671.17,7.934,0,0.00,3256.04,0.00
E02005190,"Brindle & Withnell",751,599.0,1073.84,29.115,2,0.00,0.00,0.00
E02005191,"Clayton-le-Woods",786,587.0,1064.28,28.636,0,0.00,7639.51,0.00
E02005192,"Whittle-le-Woods & Anglezarke",763,559.0,391.19,34.218,0,0.00,0.00,0.00
E02005193,"Euxton",742,559.0,94.27,32.552,0,0.00,0.00,0.00
E02005194,"Chorley North",756,559.0,2722.34,32.507,5,0.00,2243.68,0.00
E02005195,"Croston & Mawdesley",501,1171.0,2136.59,34.189,0,0.00,0.00,0.00
E02005196,"Chorley West",690,339.0,971.66,42.175,2,6903.54,14817.72,0.00
E02005197,"Chorley East",678,559.0,594.15,91.289,0,0.00,0.00,0.00
E02005198,"Chorley Town & South",669,559.0,2878.37,55.341,3,0.00,13813.84,0.00
E02005199,"Eccleston & Charnock Richard",653,924.0,2836.80,39.198,6,0.00,0.00,0.00
E02005200,"Chorley South West",682,339.0,580.26,27.915,0,0.00,348.59,0.00
E02005201,"Coppull",649,339.0,474.78,27.156,0,0.00,0.00,0.00
E02005202,"Adlington & Rivington",680,741.0,2380.15,41.269,2,0.00,0.00,0.00
