MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02004105,"Killamarsh",0,209.0,471.46,29.321,0,0.00
E02004106,"Eckington West & Coal Aston",0,529.0,446.05,21.363,0,0.00
E02004108,"Dronfield Town & Unstone",0,399.0,1817.81,44.395,1,0.00
E02004109,"Dronfield Woodhouse & Holmesfield",0,337.0,425.88,29.510,0,0.00
E02004110,"Dronfield South & Gosforth Lane",0,163.0,365.42,25.523,0,0.00
E02004111,"Arkwright Town & Temple Normanton",0,1550.0,706.64,12.235,0,0.00
E02004112,"Wingerworth & Holymoorside",0,1731.0,1115.84,25.363,0,0.00
E02004113,"Grassmoor & Holmewood",0,259.0,1001.39,30.115,0,0.00
E02004114,"Ashover & New Tupton",0,1028.0,1184.33,28.834,0,0.00
E02004115,"North Wingfield & Pilsley",0,498.0,621.57,19.773,0,0.00
E02004116,"Clay Cross",0,70.0,2364.38,16.180,6,0.00
E02004117,"Stonebroom",0,421.0,983.89,23.065,0,0.00
E02006804,"Eckington East & Renishaw",0,236.0,919.07,25.516,0,0.00
