MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02005221,"Carnforth",204,238.0,2455.55,50.044,6,0.00,5989.58,0.00
E02005222,"Kellet & Lune Valley",164,355.0,2152.98,28.486,0,0.00,0.00,53.83
E02005223,"Hest Bank & Bolton-le-Sands",193,457.0,807.79,26.065,0,0.00,0.00,0.00
E02005224,"Bare",158,50.0,489.36,8.046,0,0.00,0.00,0.00
E02005225,"Halton & Caton",292,419.0,2864.88,19.675,12,0.00,0.00,0.00
E02005226,"Morecambe Town",142,165.0,3859.54,23.460,9,0.00,10878.09,0.00
E02005228,"Morecambe South West",110,165.0,277.01,9.804,0,0.00,0.00,0.00
E02005229,"Morecambe West End",88,165.0,258.49,11.628,0,0.00,942.88,0.00
E02005230,"Morecambe Westgate",160,353.0,2749.58,12.077,3,0.00,12280.45,3335.06
E02005231,"Skerton & Vale",196,188.0,547.88,8.762,0,0.00,657.07,0.00
E02005233,"Lancaster East",179,188.0,2663.24,8.190,2,0.00,0.00,0.00
E02005234,"Lancaster Central",164,333.0,5296.24,43.590,8,0.00,14571.08,3675.64
E02005235,"Moorlands & Greaves",189,188.0,809.31,4.762,0,0.00,0.00,0.00
E02005236,"Heysham & Overton",101,115.0,2960.70,25.155,1,0.00,693.82,0.00
E02005237,"Marsh",191,333.0,2348.69,15.284,2,0.00,0.00,0.00
E02005238,"Scotforth East & Bowerham",258,188.0,556.06,6.571,3,0.00,5272.15,0.00
E02005239,"University",323,627.0,4974.71,26.768,3,0.00,0.00,3019.20
E02006871,"Scale Hall & Torrisholme",238,498.0,1756.28,15.349,0,0.00,7644.27,0.00
