MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02003352,"Winkfield & Cranbourne",0,5057.0,586.48,34.238,1,0.00
E02003353,"Binfield & Popeswood",0,1297.0,4449.25,63.124,0,0.00
E02003354,"Wick Hill",0,597.0,1154.67,29.174,2,0.00
E02003355,"Priestwood",0,784.0,3068.61,85.918,0,0.00
E02003356,"Chavey Down & North Ascot West",0,1177.0,427.34,34.211,0,0.00
E02003357,"Bullbrook",0,343.0,1393.29,19.722,2,0.00
E02003358,"Central Bracknell & Wildridings",0,597.0,6048.81,27.858,13,0.00
E02003359,"Crown Wood",0,343.0,175.71,7.984,0,0.00
E02003360,"Great Hollands",0,780.0,3908.33,16.868,1,150679.52
E02003361,"Birch Hill & Hanworth East",0,343.0,2790.52,11.436,0,0.00
E02003362,"Hanworth West",0,343.0,64.00,5.653,0,0.00
E02003363,"Crowthorne South",0,364.0,900.81,52.468,1,0.00
E02003364,"Owlsmoor & Broadmoor",0,1390.0,2048.95,45.010,5,0.00
E02003365,"Sandhurst",0,757.0,466.60,60.922,0,0.00
E02003366,"College Town",0,481.0,3218.55,32.665,2,0.00
