MSOA,index-of-transport-accesibility,chargepoints
E02001157,0.068,0.00
E02001158,0.066,0.02
E02001159,0.058,0.00
E02001160,0.084,0.00
E02001161,0.179,0.01
E02001162,0.078,0.00
E02001163,0.144,0.02
E02001164,0.118,0.00
E02001165,0.103,0.00
E02001166,0.107,0.00
E02001167,0.083,0.00
E02001168,0.182,0.04
E02001169,0.132,0.00
E02001170,0.169,0.01
E02001171,0.203,0.00
E02001172,0.11,0.03
E02001173,0.116,0.01
E02001174,0.106,0.00
E02001175,0.09,0.01
E02001176,0.14,0.02
E02001177,0.152,0.05
E02001178,0.075,0.13
E02001179,0.08,0.00
E02001180,0.108,0.02
E02001181,0.282,0.00
E02001182,0.111,0.02
E02001183,0.172,0.00
E02001184,0,0.13
E02001185,0.067,0.00
E02001186,0.065,0.03
