MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02005850,"Eastwood Hall & Brinsley",0,321.0,1452.30,17.715,0,0.00,0.00,0.00,0
E02005851,"Eastwood Town",0,321.0,1797.69,52.893,8,0.00,6117.45,0.00,0
E02005852,"Eastwood East",0,321.0,3416.23,22.777,1,0.00,268.07,0.00,0
E02005853,"Kimberley North & Watnall",0,573.0,1309.55,27.073,0,0.00,669.34,4995.93,0
E02005856,"Bramcote",0,612.0,1133.02,19.967,0,0.00,0.00,0.00,0
E02005857,"Stapleford North",0,342.0,783.23,12.845,0,0.00,0.00,0.00,0
E02005858,"Beeston North",0,612.0,441.91,17.294,0,0.00,0.00,0.00,0
E02005859,"Stapleford South",0,342.0,1479.17,23.289,8,0.00,1888.30,0.00,0
E02005860,"Beeston Town",0,962.0,3052.71,75.984,8,0.00,14112.38,66.49,0
E02005861,"Beeston Rylands",0,342.0,1754.28,12.114,0,0.00,0.00,6167.82,0
E02005862,"Chilwell West",0,342.0,1394.70,17.858,0,0.00,0.00,0.00,0
E02005863,"Attenborough & Chilwell East",0,342.0,1859.32,22.558,0,0.00,958.98,0.00,0
E02005864,"Toton",0,574.0,4161.94,20.969,16,0.00,9617.75,0.00,0
E02006906,"Kimberley South",0,1286.0,4086.27,31.021,9,0.00,5427.43,3417.82,0
