MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02003977,"Askam & Dalton North",24,188.0,1531.75,5.220,0,0.00
E02003978,"Dalton South",23,59.0,307.74,9.361,0,0.00
E02003979,"Hawcoat & Furness Abbey",21,108.0,1458.68,8.386,0,0.00
E02003980,"Orsmgill & Hindpool",21,71.0,6248.87,4.847,3,0.00
E02003981,"Parkside",19,108.0,187.94,5.271,0,0.00
E02003982,"Roose",18,45.0,581.38,16.400,0,0.00
E02003983,"Abbotsmead & Salthouse",18,108.0,219.79,12.609,0,0.00
E02003984,"Barrow Central",16,130.0,2040.28,10.002,1,0.00
E02003985,"Walney Island North",14,63.0,600.69,3.221,1,0.00
E02003986,"Walney Island South & Barrow Island",15,108.0,2904.14,3.099,4,0.00
