MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02005087,"Swanley East & Hextable",0,326.0,611.47,11.708,0,0.00,0.00,2744.45
E02005088,"Swanley West",0,123.0,2515.35,28.182,3,0.00,12810.61,0.00
E02005089,"Swanley South & Crockenhill",0,808.0,1103.36,16.884,0,0.00,0.00,0.00
E02005090,"Hartley & Hodsoll Street",0,632.0,168.40,31.331,0,0.00,0.00,0.00
E02005091,"Darenth Valley",0,702.0,948.40,48.390,0,0.00,0.00,0.00
E02005093,"West Kingsdown",0,841.0,2886.18,30.020,1,0.00,0.00,0.00
E02005094,"Knockholt",0,1403.0,3913.20,54.409,4,0.00,8757.85,0.00
E02005095,"Kemsing & Otford",0,626.0,1265.01,33.983,0,0.00,0.00,0.00
E02005096,"Sevenoaks North",0,973.0,1456.42,34.545,1,0.00,1270.79,2724.06
E02005097,"Sevenoaks West & Chevening",0,602.0,1450.16,36.347,0,0.00,1656.89,0.00
E02005098,"Sevenoaks Town & Weald",0,1176.0,3577.83,156.980,4,0.00,0.00,0.00
E02005099,"Westerham & Brasted",0,966.0,2489.07,47.286,0,0.00,347.75,7109.88
E02005100,"Edenbridge",0,146.0,514.72,48.317,0,0.00,2383.66,0.00
E02005101,"Hever",0,809.0,1503.03,46.830,0,0.00,0.00,0.00
E02006832,"New Ash Green",0,494.0,668.43,18.007,0,0.00,0.00,0.00
