MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02001429,"Crossens",247,163.0,187.25,14.226,0,0.00
E02001430,"Marshside",229,163.0,527.33,13.549,0,0.00
E02001431,"Hesketh Park",222,163.0,222.15,15.327,0,0.00
E02001432,"Southport Waterfront",224,427.0,6276.74,46.966,1,0.00
E02001433,"Southport High Park",215,427.0,154.16,12.707,0,0.00
E02001434,"Meols Cop",230,427.0,1376.21,14.903,0,0.00
E02001435,"Southport South",227,264.0,701.63,18.578,0,0.00
E02001436,"Southport Kew",241,427.0,3235.23,68.631,6,0.00
E02001437,"Birkdale",237,264.0,3117.68,28.002,0,0.00
E02001438,"Hillside",242,264.0,287.34,13.462,0,0.00
E02001439,"Ainsdale East",324,264.0,511.74,13.103,0,0.00
E02001440,"Ainsdale West",340,264.0,916.35,15.616,0,0.00
E02001441,"Formby West & Freshfield North",364,132.0,1028.62,27.471,1,0.00
E02001442,"Formby Central & Freshfield South",440,155.0,1297.39,48.027,0,0.00
E02001443,"Formby South West",409,132.0,954.57,21.435,0,0.00
E02001444,"Formby South East & Ince Blundell",515,294.0,897.82,27.728,2,0.00
E02001445,"Maghull North West & Lydiate",665,189.0,0.00,24.600,0,0.00
E02001446,"Maghull North East",736,189.0,287.03,19.159,0,0.00
E02001447,"Maghull South East",717,189.0,385.84,20.342,0,0.00
E02001448,"Maghull South West",741,328.0,298.73,32.650,2,0.00
E02001449,"Hightown & Thornton",685,266.0,444.37,31.363,0,0.00
E02001450,"Blundellsands",484,139.0,773.50,31.953,0,0.00
E02001451,"Netherton North",687,28.0,100.00,5.868,0,0.00
E02001452,"Ford",669,190.0,196.09,11.148,0,0.00
E02001453,"Crosby East",549,164.0,221.53,25.323,0,0.00
E02001454,"Aintree East & Waddicar",773,282.0,408.03,17.873,0,0.00
E02001455,"Aintree West & Old Roan",760,152.0,1529.00,11.027,5,0.00
E02001456,"Brighton le Sands & Crosby West",450,164.0,339.05,18.376,1,0.00
E02001457,"Netherton South",705,28.0,2207.55,9.426,0,0.00
E02001458,"Waterloo",444,164.0,279.93,28.561,0,0.00
E02001459,"Litherland North",597,23.0,36.08,5.139,0,0.00
E02001460,"Seaforth North",470,48.0,251.34,8.967,2,0.00
E02001461,"Litherland South",641,130.0,93.76,6.635,0,0.00
E02001462,"Seaforth South",500,102.0,685.79,9.498,0,0.00
E02001463,"Orrell",600,226.0,468.87,7.901,1,0.00
E02001464,"Bootle North",485,102.0,212.17,4.320,0,0.00
E02001465,"Bootle South",472,130.0,2096.83,12.216,0,0.00
E02001466,"Bootle East",563,79.0,469.99,4.502,0,0.00
