MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02004424,"Billericay North East",0,561.0,74.88,24.813,0,0.00,0.00,0.00
E02004425,"Billericay Queen's Park",0,416.0,705.56,25.111,0,0.00,0.00,0.00
E02004426,"Billericay Central & Sunnymede",0,435.0,704.51,39.805,0,0.00,0.00,0.00
E02004427,"Billericay Tye Common",0,676.0,797.65,77.304,0,0.00,3498.90,0.00
E02004428,"Wickford North East",0,186.0,791.32,25.558,1,0.00,1659.41,0.00
E02004429,"Wickford West",0,422.0,251.37,20.011,0,0.00,0.00,0.00
E02004430,"Wickford Shotgate",0,186.0,298.07,15.466,0,0.00,0.00,0.00
E02004431,"Wickford South",0,253.0,447.96,23.933,1,0.00,3829.30,0.00
E02004432,"Bursteads",0,1284.0,1692.57,34.723,0,0.00,0.00,0.00
E02004433,"Steeple View & Noak Bridge",0,1289.0,1491.02,14.970,0,0.00,0.00,6155.13
E02004434,"Felmore & Bowers Gifford",0,391.0,1288.39,9.820,0,0.00,10245.65,0.00
E02004435,"Whitmore Way & Fremnells",0,180.0,2313.90,7.066,2,0.00,8225.89,0.00
E02004436,"Chalvedon",0,180.0,245.12,4.296,0,0.00,0.00,0.00
E02004437,"Laindon West & Southfields",0,1127.0,4009.66,18.896,13,0.00,1760.16,0.00
E02004438,"Basildon Central & Pipps Hill",0,1066.0,7868.68,24.043,0,33339.09,17640.20,0.00
E02004439,"Laindon Central",0,758.0,715.09,13.725,0,0.00,0.00,0.00
E02004440,"Laindon East & Lee Chapel North",0,977.0,987.42,9.262,0,0.00,0.00,0.00
E02004441,"Eversley",0,89.0,991.00,5.330,0,0.00,1539.08,0.00
E02004442,"Barstable",0,219.0,94.78,11.799,0,0.00,0.00,0.00
E02004443,"Lee Chapel South & Kingswood",0,299.0,3598.31,19.908,0,0.00,0.00,0.00
E02004444,"Langdon Hills",0,886.0,722.31,20.028,0,0.00,5384.61,0.00
E02004445,"Vange & Pitsea",0,308.0,947.24,10.361,2,0.00,15815.41,0.00
