MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
E02003581,"Cowes Central",0,110.0,1547.93,17.681,2,0,0.00,1196.94,0.00,0
E02003582,"Cowes West",0,249.0,2786.71,13.908,0,0,0.00,2972.31,0.00,0.25
E02003583,"East Cowes & Osborne",0,189.0,3066.77,10.697,0,0,0.00,3306.91,0.00,2.78
E02003584,"Ryde Central",0,154.0,1559.76,11.876,0,0,0.00,2808.18,0.00,0.57
E02003585,"Binstead & Wootton",0,154.0,1808.18,10.445,1,0,0.00,0.00,0.00,2.23
E02003586,"Ryde West & Havenstreet",0,154.0,1264.13,12.544,0,0,0.00,0.00,0.00,1.03
E02003587,"Ryde South",0,207.0,1834.41,19.609,0,0,0.00,0.00,0.00,0.08
E02003588,"Newport East & Parkhurst East",0,446.0,9564.25,20.067,2,0,0.00,8329.70,0.00,0.19
E02003589,"Newport Central & Parkhurst West",0,164.0,4634.00,13.144,1,0,0.00,10170.51,1471.00,0.12
E02003590,"Bembridge & Nettlestone",0,281.0,3616.77,37.126,3,0,0.00,11255.40,0.00,13.57
E02003591,"Newport South & West",0,330.0,4256.55,11.225,0,0,0.00,6106.97,0.00,0.7
E02003592,"Yarmouth & Freshwater",0,240.0,4822.94,12.105,2,0,0.00,0.00,0.00,0.58
E02003593,"Brighstone & Shalfleet",0,359.0,2032.06,8.596,0,0,0.00,0.00,0.00,0
E02003594,"Sandown & Brading",0,271.0,3246.38,16.880,4,0,0.00,0.00,0.00,4.16
E02003595,"Shanklin West & Newchurch",0,209.0,3162.86,11.503,1,0,0.00,9266.15,0.00,0
E02003596,"Shanklin Central & Lake",0,117.0,2364.91,19.248,0,0,0.00,0.00,348.25,0.56
E02003597,"Niton",0,330.0,1884.55,19.363,0,0,0.00,0.00,0.00,1.52
E02003598,"Ventnor & Wroxall",0,92.0,2278.61,28.983,1,0,0.00,0.00,0.00,1.22
