MSOA,Name,index-of-transport-accessibility,chargepoints,ulev,evhs,estimated-capacity
E02005304,"Hesketh Bank & Tarleton",366,0,406.0,37.406,1178.44
E02005305,"Rufford & Banks",275,2,711.0,23.567,663.68
E02005306,"Scarisbrick",379,0,1039.0,29.937,1196.91
E02005307,"Burscough",567,2,142.0,27.507,1186.04
E02005308,"Parbold",778,1,896.0,29.281,805.77
E02005309,"Ormskirk North & West",642,1,291.0,47.945,365.66
E02005310,"Ormskirk Town & East",706,19,291.0,47.412,2882.26
E02005311,"Bickerstaffe & Newburgh",791,0,940.0,25.332,3049.60
E02005312,"Skelmersdale Ashurst",788,0,398.0,12.273,417.88
E02005313,"Skelmersdale Central",793,2,256.0,35.642,890.01
E02005314,"Skelmersdale West",791,7,256.0,14.875,487.10
E02005315,"Aughton",691,0,149.0,31.417,257.20
E02005316,"Skelmersdale East",797,0,256.0,9.852,372.45
E02005317,"Skelmersdale South East",822,0,256.0,11.688,0.00
E02005318,"Upholland",806,2,543.0,20.115,687.45
