MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02004129,"Dunkesewell",0,588.0,505.63,23.949,2,0.00,0.00,0.00
E02004130,"Honiton North & East",0,120.0,789.01,27.698,0,0.00,405.71,0.00
E02004131,"Honiton South & West",0,120.0,1126.22,15.064,2,0.00,5966.41,0.00
E02004132,"Feniton & Whimple",0,563.0,2592.23,39.126,3,0.00,195.86,0.00
E02004133,"Axminster",0,83.0,927.40,19.236,0,0.00,4446.85,1757.55
E02004134,"Cranbrook",0,778.0,12061.13,43.768,0,51974.71,446.16,59262.61
E02004135,"Kilmington",0,328.0,729.48,34.674,0,0.00,0.00,0.00
E02004136,"Ottery St Mary & West Hill",0,425.0,1115.68,41.551,0,0.00,3155.26,0.00
E02004137,"Sidbury",0,396.0,2643.79,18.503,0,0.00,0.00,0.00
E02004138,"Seaton",0,147.0,1337.79,16.064,3,0.00,8044.18,433.22
E02004139,"Sidmouth Sidford",0,129.0,447.77,10.669,0,0.00,4271.93,0.00
E02004140,"Sidmouth Town",0,129.0,1116.01,22.509,0,0.00,303.09,0.00
E02004141,"Poppleford",0,497.0,1844.92,21.524,0,0.00,0.00,0.00
E02004142,"Clyst",0,1856.0,5475.92,19.000,0,0.00,0.00,0.00
E02004143,"Exmouth Brixington",0,164.0,107.92,10.162,0,0.00,0.00,0.00
E02004144,"Exmouth Halsdon",0,164.0,209.85,11.835,0,0.00,0.00,0.00
E02004145,"Budleigh Salterton",0,72.0,1241.44,27.929,0,0.00,0.00,0.00
E02004146,"Exmouth Withycombe Raleigh",0,164.0,1324.33,13.571,2,0.00,8473.27,0.00
E02004147,"Exmouth Town",0,164.0,1552.91,29.372,0,0.00,1094.00,0.00
E02004148,"Exmouth Littleham",0,236.0,1513.19,15.265,5,0.00,0.00,0.00
