MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02006416,"Chobham & Windlesham",0,735.0,1326.43,82.537,0,0.00,0.00,0.00
E02006417,"Bagshot",0,485.0,2204.01,26.579,3,0.00,3067.17,0.00
E02006418,"Lightwater",0,176.0,215.21,51.197,0,0.00,0.00,0.00
E02006419,"Camberley North",0,304.0,1003.10,24.333,0,0.00,0.00,0.00
E02006420,"Camberley Town",0,304.0,1284.30,30.297,2,0.00,0.00,0.00
E02006421,"West End & Bisley",0,1103.0,405.76,40.735,0,0.00,0.00,0.00
E02006422,"Camberley Heatherside",0,470.0,96.09,19.613,0,0.00,0.00,0.00
E02006423,"Camberley West",0,736.0,2431.62,131.762,6,0.00,10394.56,13561.65
E02006424,"Camberley Parkside",0,470.0,327.05,26.778,0,0.00,0.00,0.00
E02006425,"Frimley",0,470.0,1144.92,50.514,3,0.00,1987.89,4251.12
E02006426,"Frimley Green",0,166.0,527.34,26.084,0,0.00,0.00,0.00
E02006427,"Mytchett & Frith Hill",0,377.0,1029.25,24.488,0,0.00,110.39,0.00
