MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
W02000347,"Caerleon",0,285.0,5814.03,46.240,0,0.00,0.00,0.00
W02000348,"Malpas",0,163.0,323.54,8.287,4,0.00,0.00,0.00
W02000349,"Bettws",0,163.0,309.04,8.843,0,0.00,0.00,0.00
W02000350,"Langstone & Llan-wern",0,410.0,6533.53,33.754,2,54225.97,0.00,17220.41
W02000351,"Beechwood",0,154.0,91.69,4.593,0,0.00,0.00,0.00
W02000352,"Shaftesbury & Crindai",0,290.0,1634.01,36.127,0,0.00,0.00,3371.81
W02000353,"St Julians & Barnardtown",0,154.0,960.57,6.326,1,0.00,0.00,0.00
W02000354,"Lawrence Hill",0,285.0,367.91,5.623,0,0.00,0.00,0.00
W02000355,"Rogerstone",0,127.0,1116.02,39.843,2,0.00,3680.01,0.00
W02000356,"Ringland",0,285.0,578.24,4.749,1,0.00,0.00,0.00
W02000357,"Maendy",0,154.0,264.09,6.890,3,0.00,0.00,0.00
W02000358,"Ridgeway & Glasllwch",0,163.0,446.93,8.692,5,0.00,0.00,0.00
W02000359,"Victoria & Somerton",0,154.0,3432.07,9.630,0,0.00,0.00,0.00
W02000360,"Stow Hill",0,163.0,4439.41,16.575,7,0.00,1546.92,528.61
W02000361,"Liswerry & Uskmouth",0,285.0,8613.70,31.246,0,0.00,18966.10,1849.92
W02000362,"Pye Corner & Graig",0,290.0,1325.99,28.737,4,0.00,0.00,0.00
W02000363,"Gaer",0,290.0,1223.94,6.879,3,0.00,2577.52,0.00
W02000364,"Pillgwenlly & Docks",0,163.0,7295.55,13.695,6,0.00,115.51,5771.64
W02000365,"Duffryn & Maesglas",0,290.0,2622.00,14.183,0,0.00,0.00,0.00
W02000366,"Marshfield",0,544.0,9012.83,43.953,2,0.00,6408.92,0.00
