MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02005162,"Paddock Wood & Five Oak Green",0,744.0,11900.67,37.118,0,352069.68
E02005163,"Southborough West",0,616.0,587.07,35.133,0,0.00
E02005164,"Southborough East & Longfield Road",0,1110.0,3622.03,97.830,5,0.00
E02005165,"Pembury & Matfield",0,744.0,2075.45,29.924,2,0.00
E02005166,"High Brooms & Sherwood",0,474.0,52.00,21.422,0,0.00
E02005167,"Langton Green",0,616.0,298.33,52.561,0,0.00
E02005168,"Tunbridge Wells West",0,275.0,371.53,27.667,2,0.00
E02005169,"Tunbridge Wells Central",0,541.0,1722.73,25.999,4,0.00
E02005170,"Ferndale & Hawkenbury",0,538.0,724.37,26.144,1,0.00
E02005171,"Ramslye & Rusthall",0,746.0,1170.00,27.413,0,0.00
E02005172,"Goudhurst",0,696.0,1978.95,54.050,0,0.00
E02005173,"Tunbridge Wells South",0,541.0,167.74,29.892,0,0.00
E02005174,"Cranbrook",0,302.0,2260.21,39.217,2,0.00
E02005175,"Hawkhurst",0,302.0,1239.21,40.321,1,0.00
