MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02005993,"Chipping Norton",0,260.0,968.22,39.832,3,0.00,4481.01,0.00
E02005994,"Kingham",0,1561.0,2207.37,41.080,3,0.00,0.00,0.00
E02005995,"Chadlington & Wychwoods",0,439.0,346.91,30.224,0,0.00,0.00,0.00
E02005996,"Woodstock",0,1587.0,1555.06,82.275,2,0.00,231.96,0.00
E02005997,"Charlbury & North Leigh",0,575.0,537.11,30.027,0,0.00,478.17,0.00
E02005998,"Hanborough & Cassington",0,575.0,826.53,48.378,3,0.00,634.93,0.00
E02005999,"Leafield",0,901.0,1616.62,43.323,1,0.00,0.00,1235.32
E02006000,"Witney East",0,462.0,626.18,25.963,0,0.00,0.00,0.00
E02006001,"Witney West",0,462.0,868.69,18.423,0,0.00,0.00,5330.19
E02006002,"Witney Central",0,462.0,5585.96,67.822,0,0.00,12688.06,0.00
E02006003,"Eynsham & Stanton Harcourt",0,462.0,2479.13,39.231,0,0.00,0.00,5683.77
E02006004,"Burford & Brize Norton",0,1222.0,3306.95,41.425,0,0.00,451.67,0.00
E02006005,"Carterton North",0,179.0,721.13,28.112,0,0.00,0.00,0.00
E02006006,"Carterton South",0,179.0,2288.75,32.339,0,0.00,8186.69,0.00
E02006007,"Bampton",0,699.0,959.84,36.215,0,0.00,0.00,0.00
