MSOA,Name,index-of-transport-accessibility,chargepoints
S02002478,"?",0,0
S02002479,"?",0,0
S02002480,"?",0,0
S02002481,"?",0,0
S02002482,"?",0,0
S02002483,"?",0,0
S02002484,"?",0,0
S02002485,"?",0,0
S02002486,"?",0,0
S02002487,"?",0,0
S02002488,"?",0,0
S02002489,"?",0,0
S02002490,"?",0,0
S02002491,"?",0,0
S02002492,"?",0,0
S02002493,"?",0,0
S02002494,"?",0,0
S02002495,"?",0,0
S02002496,"?",0,0
S02002497,"?",0,0
S02002498,"?",0,0
S02002499,"?",0,0
S02002500,"?",0,0
S02002501,"?",0,0
S02002502,"?",0,0
S02002503,"?",0,0
S02002504,"?",0,0
S02002505,"?",0,0
S02002506,"?",0,0
S02002507,"?",0,0
S02002508,"?",0,0
S02002509,"?",0,0
S02002510,"?",0,0
S02002511,"?",0,0
S02002512,"?",0,0
S02002513,"?",0,0
S02002514,"?",0,0
