MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02004751,"Yateley East",0,147.0,355.47,43.162,0,0.00
E02004752,"Yateley West & Eversley",0,488.0,961.42,38.585,0,0.00
E02004753,"Blackwater",0,708.0,1956.56,14.353,0,0.00
E02004754,"Hartley Wintney & Heckfield",0,1055.0,3707.71,51.639,2,0.00
E02004755,"Fleet North",0,1201.0,3357.70,67.036,6,0.00
E02004756,"Hook & Rotherwick",0,928.0,1317.83,93.009,3,0.00
E02004757,"Fleet South & Pondtail",0,378.0,770.16,88.141,0,0.00
E02004758,"Fleet West & Winchfield",0,1249.0,1185.35,46.441,0,0.00
E02004759,"Crookham East",0,378.0,261.36,50.778,0,0.00
E02004760,"Crookham West",0,730.0,864.10,69.230,0,0.00
E02004761,"Odiham & Warnborough",0,556.0,1650.71,53.114,0,0.00
