MSOA,Name,index-of-transport-accesibility,chargepoints
S02001445,"?",0,0
S02001446,"?",0,0
S02001447,"?",0,0
S02001448,"?",0,0
S02001449,"?",0,0
S02001450,"?",0,0
S02001451,"?",0,0
S02001452,"?",0,0
S02001453,"?",0,0
S02001454,"?",0,0
S02001455,"?",0,0
S02001456,"?",0,0
S02001457,"?",0,0
S02001458,"?",0,0
S02001459,"?",0,0
S02001460,"?",0,0
S02001461,"?",0,0
S02001462,"?",0,0
S02001463,"?",0,0
S02001464,"?",0,0
S02001465,"?",0,0
S02001466,"?",0,0
S02001467,"?",0,0
S02001468,"?",0,0
S02001469,"?",0,0
S02001470,"?",0,0
S02001471,"?",0,0
S02001472,"?",0,0
S02001473,"?",0,0
S02001474,"?",0,0
S02001475,"?",0,0
