MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
W02000010,"Bangor City",0,95.0,3978.16,10.884,2,0.00
W02000011,"Bangor South",0,228.0,5046.53,14.201,2,0.00
W02000012,"Bethesda",0,111.0,2584.91,10.443,1,0.00
W02000013,"Bethel & Llanrug",0,182.0,1156.54,15.879,0,0.00
W02000014,"Llanberis & Deiniolen",0,182.0,4873.67,11.336,0,0.00
W02000015,"Caernarfon East",0,96.0,2482.32,13.236,1,0.00
W02000016,"Caernarfon West & Waunfawr",0,96.0,1843.28,11.957,0,0.00
W02000017,"Pen-y-groes",0,26.0,1735.53,16.146,0,0.00
W02000018,"Blaenau Ffestiniog & Trawsfynydd",0,24.0,2407.23,0.000,0,0.00
W02000019,"Porthmadog",0,149.0,4530.00,1.475,3,0.00
W02000020,"Cricieth & Llanaelhaearn",0,87.0,1775.81,6.280,2,0.00
W02000021,"Pwllheli & Morfa Nefyn",0,43.0,2403.94,9.969,0,0.00
W02000022,"Harlech & Llanbedr",0,43.0,4331.49,0.000,0,0.00
W02000023,"Abersoch & Aberdaron",0,43.0,2163.80,8.225,0,0.00
W02000024,"Bala & Mawddwy",0,87.0,2015.83,0.343,2,0.00
W02000025,"Barmouth & Dolgellau",0,28.0,3635.94,0.000,0,0.00
W02000026,"Tywyn & Llangelynnin",0,84.0,2193.30,0.000,0,0.00
