MSOA,Name,index-of-transport-accessibility,chargepoints,ulev,evhs,estimated-capacity
E02002827,"Beaumont Park",0,0,402.0,4.944,2425.78
E02002828,"Rushey Mead North",0,7,628.0,9.931,2064.45
E02002829,"Stocking Farm & Mowmacre",0,0,402.0,10.462,1669.44
E02002830,"Bradgate Heights & Beaumont Leys",0,1,1109.0,8.766,4148.75
E02002831,"Rushey Mead South",0,0,402.0,6.017,482.44
E02002832,"Belgrave North West",0,0,1109.0,22.193,1191.65
E02002833,"Belgrave North East",0,0,402.0,4.215,71.56
E02002834,"Abbey Park",0,6,855.0,12.450,6499.98
E02002835,"Hamilton & Humberstone",0,2,628.0,13.017,2049.21
E02002836,"Belgrave South",0,0,518.0,5.173,1079.91
E02002837,"Northfields & Merrydale",0,0,628.0,9.470,91.82
E02002838,"New Parks & Stokeswood",0,0,337.0,7.440,354.82
E02002839,"Colchester Road",0,0,226.0,7.229,272.62
E02002842,"Newfoundpool",0,0,739.0,8.776,656.80
E02002843,"Spinney Hill Road",0,0,1663.0,12.859,145.87
E02002844,"St Matthews & Highfields North",0,2,2116.0,11.251,1201.60
E02002845,"North Evington & Rowlatts Hill",0,0,226.0,11.345,2694.47
E02002846,"Dane Hills & Western Park",0,0,337.0,10.588,1519.59
E02002847,"Crown Hills",0,0,1663.0,10.673,119.71
E02002848,"Highfields South",0,0,1663.0,11.784,23.61
E02002849,"West End & Westcotes",0,6,1890.0,16.498,1099.71
E02002851,"Evington",0,0,1663.0,9.766,483.83
E02002852,"Braunstone Park West",0,6,337.0,5.666,784.71
E02002853,"Stoneygate North",0,0,1663.0,15.078,348.84
E02002854,"Braunstone Park East",0,0,337.0,8.070,516.71
E02002855,"Rowley Fields & Faircharm",0,0,1774.0,7.079,652.71
E02002856,"Clarendon Park & Stoneygate South",0,20,1553.0,23.544,3325.69
E02002857,"Aylestone North & Saffron Fields",0,2,1774.0,14.435,1971.73
E02002858,"Knighton",0,0,1437.0,14.738,274.96
E02002860,"Aylestone South",0,0,1774.0,14.762,499.56
E02002861,"Saffron Lane",0,0,1437.0,10.155,276.87
E02002862,"Eyres Monsell",0,0,1437.0,13.749,199.80
E02006815,"Thurnby Lodge",0,0,596.0,10.735,883.75
E02006817,"West Knighton",0,0,1437.0,15.097,1163.21
E02006819,"Kirby Frith",0,0,337.0,8.413,1532.80
E02006850,"Leicester City South",0,0,1553.0,17.074,3042.93
E02006851,"Leicester City Centre",0,17,2486.0,59.521,2639.98
