MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
E02005287,"Penwortham North",620,200.0,80.54,3.600,0,0,0.00,0.00,0.00,2.63
E02005288,"Gregson Lane & Coupe Green",722,579.0,3064.16,10.735,0,0,0.00,118.73,0.00,2.3
E02005289,"Penwortham South",680,200.0,310.97,4.376,7,0,0.00,2536.88,0.00,0
E02005290,"Walton-le-Dale",755,397.0,3365.26,10.487,6,0,0.00,0.00,0.00,0.61
E02005291,"Lower Penwortham North",691,397.0,127.82,5.084,0,0,0.00,0.00,0.00,25.67
E02005292,"Lower Penwortham South",701,397.0,111.92,4.560,0,0,0.00,0.00,2286.22,0
E02005293,"Bamber Bridge West",790,197.0,1384.53,8.979,8,0,0.00,11316.75,0.00,3.16
E02005294,"Bamber Bridge East",748,197.0,1023.80,22.034,10,0,0.00,3818.42,2520.95,7.17
E02005295,"Lostock Hall",785,397.0,356.82,10.919,0,0,17896.57,369.16,0.00,2.69
E02005296,"New Longton & Hutton",696,406.0,161.61,28.745,0,0,0.00,0.00,0.00,0.98
E02005297,"Longton & Walmer Bridge",654,690.0,195.79,31.755,4,0,0.00,1965.93,4120.13,9.78
E02005298,"Farington",752,860.0,1399.05,34.482,0,0,0.00,0.00,32432.00,6.83
E02005299,"Leyland North",777,454.0,1690.56,61.024,1,0,0.00,7323.43,0.00,0.23
E02005300,"Moss Side",700,454.0,146.79,27.459,0,0,0.00,0.00,0.00,16
E02005301,"Leyland South West",741,454.0,2446.62,32.724,4,0,0.00,9933.76,0.00,0.48
E02005302,"Leyland South East & Buckshaw Village",790,706.0,1719.16,29.653,0,0,37344.52,0.00,0.00,0
E02005303,"Seven Stars",719,454.0,303.94,26.635,0,0,0.00,0.00,0.00,1.24
