MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02005424,"Holton-le-Clay",0,550.0,452.63,33.679,0,0.00
E02005425,"Marshchapel",0,245.0,745.35,19.778,0,0.00
E02005426,"Louth North & East",0,143.0,429.08,18.629,0,0.00
E02005427,"Louth Central & South",0,143.0,1101.58,24.977,3,0.00
E02005428,"Mablethorpe",0,183.0,2304.04,10.383,1,0.00
E02005429,"Sutton-on-Sea",0,75.0,958.15,5.670,1,0.00
E02005430,"Wragby",0,438.0,327.51,34.120,0,0.00
E02005431,"Alford",0,303.0,952.27,16.697,2,0.00
E02005432,"Little Cawthorpe & South Wolds",0,271.0,774.80,24.955,0,0.00
E02005433,"Ingoldmells & Chapel St Leonards",0,127.0,6171.95,8.676,0,0.00
E02005434,"Horncastle",0,107.0,908.01,20.531,1,0.00
E02005435,"Skegness North",0,54.0,1065.53,4.306,3,0.00
E02005436,"Spilsby & Burgh le Marsh",0,170.0,546.60,14.764,1,0.00
E02005437,"Skegness Town",0,92.0,3628.15,7.479,2,0.00
E02005438,"Skegness South",0,647.0,2299.67,4.201,6,0.00
E02005439,"Coningsby & Woodhall Spa",0,351.0,3854.50,40.957,3,0.00
E02005440,"Wainfleet All Saints",0,224.0,717.79,10.993,0,0.00
E02005441,"Mareham",0,351.0,521.60,18.785,0,0.00
