MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02004651,"Upton St Leonards & Hardwicke",0,1338.0,3213.77,37.408,4,0.00,0.00,0.00,0
E02004652,"Painswick",0,981.0,714.47,45.349,0,0.00,0.00,0.00,0
E02004653,"Frampton",0,1118.0,3031.18,30.261,0,0.00,0.00,0.00,0
E02004654,"Ebley & Randwick",0,744.0,823.40,44.470,0,0.00,4326.50,0.00,0
E02004655,"Stonehouse",0,135.0,2623.76,23.494,1,0.00,0.00,0.00,0
E02004656,"Stroud Town",0,744.0,3107.68,107.078,6,0.00,9376.41,2411.13,0
E02004657,"Rodborough & Thrupp",0,709.0,587.26,30.772,0,0.00,7229.87,0.00,0
E02004658,"Chalford & Bussage",0,609.0,437.96,28.749,0,0.00,308.16,0.00,0
E02004659,"Leonard Stanley & Uley",0,1099.0,538.87,29.284,0,0.00,0.00,0.00,0
E02004660,"Minchinhampton & Amberley",0,744.0,365.13,35.273,0,0.00,0.00,218.16,0
E02004661,"Cam",0,385.0,2093.28,44.998,2,0.00,3469.44,0.00,0
E02004662,"Berkeley & Sharpness",0,385.0,3796.85,36.880,7,0.00,282.69,0.00,0
E02004663,"Nailsworth",0,714.0,380.54,35.544,3,0.00,1948.30,0.00,0
E02004664,"Dursley",0,200.0,1036.84,32.175,0,0.00,5089.24,0.00,0
E02004665,"Wotton-under-Edge & Kingswood",0,364.0,3244.83,56.587,1,0.00,603.35,0.00,0
