MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02001791,"Fulwell",296,237.0,175.84,14.834,1,0.00,1052.74,0.00
E02001792,"Seaburn",294,118.0,520.77,26.956,5,0.00,7094.93,0.00
E02001793,"Town End Farm",328,119.0,229.47,6.497,2,0.00,0.00,0.00
E02001794,"Hylton Red House & Marley Pots",321,119.0,51.21,5.772,0,0.00,0.00,0.00
E02001795,"Southwick",315,495.0,1679.01,31.564,13,0.00,13558.26,0.00
E02001796,"Monkwearmouth",294,246.0,1600.22,41.463,6,0.00,16264.54,0.00
E02001797,"Springwell & Usworth",329,466.0,20154.89,13.214,59,0.00,0.00,0.00
E02001798,"North Hylton",329,119.0,1581.67,5.798,5,0.00,2878.92,0.00
E02001799,"Concord and Sulgrave",331,41.0,817.21,9.913,6,0.00,3706.73,0.00
E02001800,"Albany and Blackfell",333,417.0,1136.07,27.958,3,0.00,2426.10,0.00
E02001801,"Millfield",316,258.0,1155.20,8.463,23,0.00,1487.92,0.00
E02001802,"Pallion North",319,86.0,727.06,7.983,0,0.00,381.20,0.00
E02001803,"Sunderland Central & Deptford",304,293.0,3498.96,9.931,35,0.00,0.00,0.00
E02001804,"South Hylton",325,77.0,737.25,7.207,0,0.00,0.00,0.00
E02001805,"Pallion South & High Barnes",319,77.0,92.28,6.775,0,0.00,0.00,0.00
E02001806,"Hendon & Docks",307,97.0,722.23,12.091,10,0.00,0.00,3309.16
E02001807,"Columbia",337,274.0,1587.63,33.546,2,28392.80,0.00,0.00
E02001808,"Barnes Park",313,249.0,504.61,6.351,4,0.00,0.00,0.00
E02001809,"Washington Town Centre & Biddick",332,196.0,4427.98,27.620,4,0.00,17452.37,0.00
E02001810,"Oxclose and Lambton",333,196.0,708.46,20.969,1,0.00,0.00,0.00
E02001811,"Pennywell and Grindon",332,77.0,374.66,10.616,0,0.00,0.00,0.00
E02001812,"Hill View & Tunstall",315,258.0,485.59,20.034,4,0.00,0.00,0.00
E02001813,"Thorney Close & Plains Farm",321,84.0,846.40,16.460,0,0.00,2094.49,0.00
E02001814,"Grangetown",316,97.0,1449.42,9.500,7,0.00,12765.75,0.00
E02001815,"Harraton",331,297.0,1931.46,29.763,1,0.00,0.00,0.00
E02001816,"Lakeside & Farrington",322,84.0,1249.12,13.891,1,0.00,10020.45,0.00
E02001817,"Silksworth",319,172.0,0.00,19.324,0,0.00,0.00,0.00
E02001818,"Ryhope",328,88.0,442.54,13.656,2,0.00,1134.49,0.00
E02001819,"Herrington & Doxford",328,203.0,6569.31,15.924,1,0.00,7386.59,0.00
E02001820,"Shiney Row",331,101.0,529.40,27.673,0,0.00,404.70,0.00
E02001821,"Hall Farm",327,294.0,282.79,9.926,0,0.00,1599.28,0.00
E02001822,"Newbottle & Penshaw",329,224.0,613.17,34.077,4,0.00,0.00,0.00
E02001823,"Houghton West",326,101.0,221.61,25.294,1,0.00,0.00,0.00
E02001824,"Houghton Town",331,147.0,656.55,43.604,2,0.00,2488.10,0.00
E02001825,"Hetton-le-Hole North",326,231.0,3095.62,20.107,7,0.00,479.41,0.00
E02001826,"Hetton-le-Hole South",327,269.0,210.78,14.150,2,0.00,0.00,0.00
