MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02001259,"Old Trafford",705,189.0,3367.53,13.896,0,0.00
E02001260,"Trafford Park West & Kingsway Park",923,295.0,23048.49,28.131,25,0.00
E02001261,"Gorse Hill",798,341.0,6751.86,16.616,3,0.00
E02001262,"Firswood",723,259.0,2794.35,7.594,0,0.00
E02001263,"Davyhulme",801,213.0,2112.09,27.772,9,0.00
E02001264,"Trafford Park East & Sevenways",866,554.0,7167.82,14.028,0,0.00
E02001265,"Flixton & Moorside",749,213.0,439.50,23.822,0,0.00
E02001266,"Lostock & Stretford Meadows",870,554.0,1233.40,12.063,0,0.00
E02001267,"Urmston East",856,213.0,872.60,52.791,0,0.00
E02001268,"Urmston West",802,213.0,701.40,23.702,0,0.00
E02001269,"Stretford East",865,261.0,1040.82,27.812,3,0.00
E02001270,"Sale North",870,456.0,2016.58,63.619,0,0.00
E02001271,"Ashton upon Mersey North",877,343.0,830.85,24.413,1,0.00
E02001272,"Sale East",862,343.0,1752.16,31.517,0,0.00
E02001273,"Sale Central",815,343.0,2915.18,120.903,2,0.00
E02001274,"Ashton upon Mersey South",811,343.0,478.19,37.459,0,0.00
E02001275,"Partington",743,702.0,3529.81,0.437,0,0.00
E02001276,"Sale Moor",838,566.0,222.51,22.129,0,0.00
E02001277,"Broadheath & Firsway",768,720.0,3676.72,31.668,2,0.00
E02001278,"West Timperley",742,1091.0,1751.58,29.031,0,0.00
E02001279,"Timperley North",658,789.0,268.75,30.279,0,0.00
E02001280,"Timperley East",736,446.0,421.70,44.804,0,0.00
E02001281,"Timperley South",692,371.0,791.27,37.459,0,0.00
E02001282,"Altrincham East",706,894.0,5100.21,194.252,3,0.00
E02001283,"Altrincham West",746,523.0,4270.31,88.579,3,0.00
E02001284,"Hale",728,748.0,46.01,55.795,0,0.00
E02001285,"Bowdon",747,748.0,831.95,62.698,0,0.00
E02001286,"Hale Barns",798,371.0,1001.71,65.599,0,0.00
