MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02006456,"Byfleet",0,124.0,257.31,24.439,1,0.00,550.81,10350.96,0.83
E02006457,"West Byfleet & Pyrford North",0,459.0,1579.16,36.863,0,0.00,2233.94,0.00,1.57
E02006458,"Horsell",0,754.0,3223.83,33.947,0,0.00,0.00,0.00,0.77
E02006459,"Sheerwater",0,707.0,3054.79,27.170,4,0.00,7118.67,0.00,2.03
E02006460,"Goldsworth Park",0,372.0,583.22,17.818,0,0.00,0.00,0.00,0
E02006461,"Maybury Hill & Pyrford South",0,1063.0,2166.38,133.890,0,0.00,0.00,0.00,3.37
E02006462,"Knaphill",0,563.0,1901.48,42.019,0,0.00,11213.89,0.00,0.47
E02006463,"Woking Central",0,707.0,4635.35,70.461,14,0.00,7630.69,0.00,15.53
E02006464,"St John's",0,707.0,1633.16,34.373,0,0.00,533.31,0.00,0.43
E02006465,"Hook Heath",0,707.0,200.39,25.603,0,0.00,269.58,0.00,0
E02006466,"Old Woking & Westfield",0,335.0,970.55,31.241,1,0.00,356.37,0.00,5.75
E02006467,"Mayford & Brookwood",0,1254.0,1538.17,34.509,0,0.00,0.00,0.00,0.74
