MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02004189,"Woolwell & Lee Mill",0,465.0,3839.05,15.095,0,0.00
E02004190,"South Brent & Cornwood",0,648.0,2498.02,43.132,0,0.00
E02004191,"Totnes Town",0,283.0,2836.56,38.745,1,0.00
E02004192,"Marldon",0,765.0,20448.30,24.549,0,0.00
E02004193,"Ivybridge",0,107.0,693.77,36.496,0,0.00
E02004194,"Loddiswell & Dartington",0,463.0,1578.49,25.017,0,0.00
E02004195,"Dartmouth",0,61.0,2013.62,14.783,0,0.00
E02004196,"Yealmpton",0,485.0,3946.70,40.705,3,0.00
E02004197,"Wembury",0,346.0,780.50,31.469,0,0.00
E02004198,"Kingsbridge",0,141.0,1468.05,20.872,0,0.00
E02004199,"Chillington",0,604.0,1652.55,17.589,0,0.00
E02004200,"Salcombe",0,344.0,9630.23,12.966,0,0.00
