MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02004615,"Willersey",0,458.0,1201.23,58.963,0,0.00,0.00,9743.20,0.83
E02004616,"Moreton & Stow-on-the-Wold",0,656.0,3146.96,56.130,4,0.00,8326.27,3690.75,1.92
E02004617,"Bourton-on-the-Water & Vale",0,656.0,1703.31,51.556,3,0.00,2587.87,0.00,0.09
E02004618,"Sandywell",0,1532.0,1876.12,51.920,0,0.00,0.00,0.00,13.84
E02004619,"Northleach",0,1147.0,624.50,54.091,2,0.00,0.00,0.00,2.34
E02004620,"Cirencester East & Stratton",0,468.0,170.92,26.051,0,0.00,319.71,0.00,0.92
E02004621,"Cirencester Central",0,468.0,2870.40,56.580,2,0.00,5484.33,0.00,5.14
E02004622,"Cirencester South",0,468.0,1195.28,53.052,4,0.00,13091.68,0.00,0.11
E02004623,"Fairford & Lechlade",0,468.0,1256.55,49.253,0,0.00,0.00,0.00,0.18
E02004624,"Kemble & South Cerney",0,1072.0,1737.74,35.378,0,0.00,0.00,0.00,0
E02004625,"Tetbury",0,1274.0,3917.39,55.705,2,0.00,3565.15,520.83,7.95
